RECORD_KEY,MASTER_660_ID,ORIGINE,NOVITA,COMUNE,TITOLO,TIPOLOGIA,INDIRIZZO,TARGET_RICERCA,STATO_RICERCA,LAT,LON,GEOCODE_DISPLAY,CATASTO_LOCAL_ID,CODICE_BELFIORE,FOGLIO_RAW,PARTICELLA,FONTE_CATASTO,URL_SEGNALE,PRIMA_RILEVAZIONE,ULTIMO_CONTROLLO_CATASTO
M660-1,1,MASTER_660,NO,Chiomonte,Appartamento in in vendita da privato a Chiomonte via III Reggimento ...,APPARTAMENTO,via III Reggimento,SI,INDIRIZZO_SENZA_CIVICO,,,,,,,,Agenzia delle Entrate · WMS CP.CadastralParcel,https://www.trovacasa.it/annunci/to-tc-3427-72524015,2026-08-28T10:58:40.670411+00:00,2026-09-03T18:53:34.067580+00:00
M660-2,2,MASTER_660,NO,San Giorio di Susa,Vendita Villa unifamiliare in frazione Città San Giorio di Susa. Buono ...,VILLA,frazione Città San Giorio di Susa. Buono,SI,INDIRIZZO_SENZA_CIVICO,,,,,,,,Agenzia delle Entrate · WMS CP.CadastralParcel,https://www.immobiliare.it/annunci/64042064/,2026-08-28T10:58:40.671829+00:00,2026-09-03T18:53:34.067599+00:00
M660-3,3,MASTER_660,NO,Chiusa di San Michele,Villa in in vendita da privato a Chiusa di San Michele borgata ...,VILLA,,SI,INDIRIZZO_SENZA_CIVICO,,,,,,,,Agenzia delle Entrate · WMS CP.CadastralParcel,https://www.trovacasa.it/annunci/to-tc-3427-72776904,2026-08-21T12:20:59.475462+00:00,2026-09-03T18:53:34.067611+00:00
M660-4,4,MASTER_660,NO,Collegno,Case in Vendita da Privati Collegno - ClickCase.it,ALTRO_NON_DETERMINATO,viale XXIV Maggio 54,NO,NON_TARGET,,,,,,,,Agenzia delle Entrate · WMS CP.CadastralParcel,https://www.clickcase.it/annunci/vendita-case-privati-collegno.html,2026-08-21T12:20:59.475506+00:00,2026-09-03T18:53:34.067617+00:00
M660-5,5,MASTER_660,NO,Oulx,236 immobili in vendita a Oulx - Trovit,PAGINA_RICERCA_CATEGORIA,,NO,NON_TARGET,,,,,,,,Agenzia delle Entrate · WMS CP.CadastralParcel,https://case.trovit.it/oulx,2026-08-21T12:20:59.475648+00:00,2026-09-03T18:53:34.067623+00:00
M660-6,6,MASTER_660,NO,Rivoli,Case in Vendita da Privati Rivoli - ClickCase.it,ALTRO_NON_DETERMINATO,,NO,NON_TARGET,,,,,,,,Agenzia delle Entrate · WMS CP.CadastralParcel,https://www.clickcase.it/annunci/vendita-case-privati-rivoli.html,2026-08-23T09:11:13.222671+00:00,2026-09-03T18:53:34.067628+00:00
M660-7,7,MASTER_660,NO,Condove,Vendita Rustico in Borgata Pralesio Superiore Condove. Da ristrutturare ...,RUSTICO_CASALE_BAITA,Borgata Pralesio Superiore Condove. Da ristrutturare,SI,INDIRIZZO_SENZA_CIVICO,,,,,,,,Agenzia delle Entrate · WMS CP.CadastralParcel,https://www.immobiliare.it/annunci/129732716/,2026-08-27T21:04:17.079997+00:00,2026-09-03T18:53:34.067634+00:00
M660-8,8,MASTER_660,NO,Rubiana,Rubiana - 374 case in vendita in Rubiana de Nuroa.it,PAGINA_RICERCA_CATEGORIA,,NO,NON_TARGET,,,,,,,,Agenzia delle Entrate · WMS CP.CadastralParcel,https://www.nuroa.it/vendita-immobili/rubiana,2026-08-28T05:06:35.531236+00:00,2026-09-03T18:53:34.067639+00:00
M660-9,9,MASTER_660,NO,Alpignano,Appartamenti in vendita Alpignano - Subito.it,ALTRO_NON_DETERMINATO,,NO,NON_TARGET,,,,,,,,Agenzia delle Entrate · WMS CP.CadastralParcel,https://www.subito.it/annunci-piemonte/vendita/appartamenti/torino/alpignano/,2026-08-27T21:04:17.079119+00:00,2026-09-03T18:53:34.067643+00:00
M660-10,10,MASTER_660,NO,Oulx,Case in vendita Oulx - Immobili - Subito.it,ALTRO_NON_DETERMINATO,,NO,NON_TARGET,,,,,,,,Agenzia delle Entrate · WMS CP.CadastralParcel,https://www.subito.it/annunci-piemonte/vendita/immobili/torino/oulx/,2026-08-27T21:04:17.080382+00:00,2026-09-03T18:53:34.067647+00:00
