FONTE,COMUNE,STATO,ULTIMO_CONTROLLO,RISULTATI_GREZZI,ACCETTATI,MESSAGGIO,QUERY
Web generale,Avigliana,OK,2026-08-17T16:21:13.055333+00:00,9,0,,"""Avigliana"" (vendita OR ""in vendita"") (casa OR appartamento OR villa)"
Web privati,Avigliana,OK,2026-08-17T16:21:18.260899+00:00,0,0,,"""Avigliana"" (""privato vende"" OR ""no agenzie"" OR ""da privato"" OR ""da privati"") (casa OR appartamento OR villa)"
Web generale,Almese,ERROR,2026-08-17T16:21:22.222704+00:00,0,0,verifica umana / rate limit,"""Almese"" (vendita OR ""in vendita"") (casa OR appartamento OR villa)"
Web privati,Almese,ERROR,2026-08-17T16:21:27.228583+00:00,0,0,verifica umana / rate limit,"""Almese"" (""privato vende"" OR ""no agenzie"" OR ""da privato"" OR ""da privati"") (casa OR appartamento OR villa)"
Web generale,Buttigliera Alta,ERROR,2026-08-17T16:21:32.230242+00:00,0,0,verifica umana / rate limit,"""Buttigliera Alta"" (vendita OR ""in vendita"") (casa OR appartamento OR villa)"
Web privati,Buttigliera Alta,ERROR,2026-08-17T16:21:37.231849+00:00,0,0,verifica umana / rate limit,"""Buttigliera Alta"" (""privato vende"" OR ""no agenzie"" OR ""da privato"" OR ""da privati"") (casa OR appartamento OR villa)"
Web generale,Bussoleno,ERROR,2026-08-17T16:21:42.242977+00:00,0,0,verifica umana / rate limit,"""Bussoleno"" (vendita OR ""in vendita"") (casa OR appartamento OR villa)"
Web privati,Bussoleno,ERROR,2026-08-17T16:21:47.364256+00:00,0,0,verifica umana / rate limit,"""Bussoleno"" (""privato vende"" OR ""no agenzie"" OR ""da privato"" OR ""da privati"") (casa OR appartamento OR villa)"
Web generale,Susa,ERROR,2026-08-17T16:21:52.216300+00:00,0,0,verifica umana / rate limit,"""Susa"" (vendita OR ""in vendita"") (casa OR appartamento OR villa)"
Web privati,Susa,ERROR,2026-08-17T16:21:57.222403+00:00,0,0,verifica umana / rate limit,"""Susa"" (""privato vende"" OR ""no agenzie"" OR ""da privato"" OR ""da privati"") (casa OR appartamento OR villa)"
Web generale,Rosta,ERROR,2026-08-17T16:22:02.221784+00:00,0,0,verifica umana / rate limit,"""Rosta"" (vendita OR ""in vendita"") (casa OR appartamento OR villa)"
Web privati,Rosta,ERROR,2026-08-17T16:22:07.323673+00:00,0,0,verifica umana / rate limit,"""Rosta"" (""privato vende"" OR ""no agenzie"" OR ""da privato"" OR ""da privati"") (casa OR appartamento OR villa)"
Web generale,Condove,ERROR,2026-08-17T16:22:12.220864+00:00,0,0,verifica umana / rate limit,"""Condove"" (vendita OR ""in vendita"") (casa OR appartamento OR villa)"
Web privati,Condove,ERROR,2026-08-17T16:22:17.237965+00:00,0,0,verifica umana / rate limit,"""Condove"" (""privato vende"" OR ""no agenzie"" OR ""da privato"" OR ""da privati"") (casa OR appartamento OR villa)"
Web generale,Sant'Antonino di Susa,ERROR,2026-08-17T16:22:22.225380+00:00,0,0,verifica umana / rate limit,"""Sant'Antonino di Susa"" (vendita OR ""in vendita"") (casa OR appartamento OR villa)"
Web privati,Sant'Antonino di Susa,ERROR,2026-08-17T16:22:27.295435+00:00,0,0,verifica umana / rate limit,"""Sant'Antonino di Susa"" (""privato vende"" OR ""no agenzie"" OR ""da privato"" OR ""da privati"") (casa OR appartamento OR villa)"
Web generale,Alpignano,ERROR,2026-08-17T16:22:32.232771+00:00,0,0,verifica umana / rate limit,"""Alpignano"" (vendita OR ""in vendita"") (casa OR appartamento OR villa)"
Web privati,Alpignano,ERROR,2026-08-17T16:22:37.231365+00:00,0,0,verifica umana / rate limit,"""Alpignano"" (""privato vende"" OR ""no agenzie"" OR ""da privato"" OR ""da privati"") (casa OR appartamento OR villa)"
Web generale,Rivoli,ERROR,2026-08-17T16:22:42.224519+00:00,0,0,verifica umana / rate limit,"""Rivoli"" (vendita OR ""in vendita"") (casa OR appartamento OR villa)"
Web privati,Rivoli,ERROR,2026-08-17T16:22:47.218529+00:00,0,0,verifica umana / rate limit,"""Rivoli"" (""privato vende"" OR ""no agenzie"" OR ""da privato"" OR ""da privati"") (casa OR appartamento OR villa)"
Web generale,Villar Dora,ERROR,2026-08-17T16:22:52.229683+00:00,0,0,verifica umana / rate limit,"""Villar Dora"" (vendita OR ""in vendita"") (casa OR appartamento OR villa)"
Web privati,Villar Dora,ERROR,2026-08-17T16:22:57.229119+00:00,0,0,verifica umana / rate limit,"""Villar Dora"" (""privato vende"" OR ""no agenzie"" OR ""da privato"" OR ""da privati"") (casa OR appartamento OR villa)"
Web generale,Caprie,ERROR,2026-08-17T16:23:02.227620+00:00,0,0,verifica umana / rate limit,"""Caprie"" (vendita OR ""in vendita"") (casa OR appartamento OR villa)"
Web privati,Caprie,ERROR,2026-08-17T16:23:07.228173+00:00,0,0,verifica umana / rate limit,"""Caprie"" (""privato vende"" OR ""no agenzie"" OR ""da privato"" OR ""da privati"") (casa OR appartamento OR villa)"
Web generale,Novaretto,ERROR,2026-08-17T16:23:12.232381+00:00,0,0,verifica umana / rate limit,"""Novaretto"" (vendita OR ""in vendita"") (casa OR appartamento OR villa)"
Web privati,Novaretto,ERROR,2026-08-17T16:23:17.223386+00:00,0,0,verifica umana / rate limit,"""Novaretto"" (""privato vende"" OR ""no agenzie"" OR ""da privato"" OR ""da privati"") (casa OR appartamento OR villa)"
Web generale,Chiusa di San Michele,ERROR,2026-08-17T16:23:22.242932+00:00,0,0,verifica umana / rate limit,"""Chiusa di San Michele"" (vendita OR ""in vendita"") (casa OR appartamento OR villa)"
Web privati,Chiusa di San Michele,ERROR,2026-08-17T16:23:27.228924+00:00,0,0,verifica umana / rate limit,"""Chiusa di San Michele"" (""privato vende"" OR ""no agenzie"" OR ""da privato"" OR ""da privati"") (casa OR appartamento OR villa)"
Web generale,Vaie,ERROR,2026-08-17T16:23:32.333765+00:00,0,0,verifica umana / rate limit,"""Vaie"" (vendita OR ""in vendita"") (casa OR appartamento OR villa)"
Web privati,Vaie,ERROR,2026-08-17T16:23:37.220046+00:00,0,0,verifica umana / rate limit,"""Vaie"" (""privato vende"" OR ""no agenzie"" OR ""da privato"" OR ""da privati"") (casa OR appartamento OR villa)"
Web generale,Sant'Ambrogio di Torino,ERROR,2026-08-17T16:23:42.231595+00:00,0,0,verifica umana / rate limit,"""Sant'Ambrogio di Torino"" (vendita OR ""in vendita"") (casa OR appartamento OR villa)"
Web privati,Sant'Ambrogio di Torino,ERROR,2026-08-17T16:23:47.220639+00:00,0,0,verifica umana / rate limit,"""Sant'Ambrogio di Torino"" (""privato vende"" OR ""no agenzie"" OR ""da privato"" OR ""da privati"") (casa OR appartamento OR villa)"
Web generale,San Valeriano,ERROR,2026-08-17T16:23:52.236870+00:00,0,0,verifica umana / rate limit,"""San Valeriano"" (vendita OR ""in vendita"") (casa OR appartamento OR villa)"
Web privati,San Valeriano,ERROR,2026-08-17T16:23:57.221300+00:00,0,0,verifica umana / rate limit,"""San Valeriano"" (""privato vende"" OR ""no agenzie"" OR ""da privato"" OR ""da privati"") (casa OR appartamento OR villa)"
Web generale,Villar Focchiardo,ERROR,2026-08-17T16:24:02.247907+00:00,0,0,verifica umana / rate limit,"""Villar Focchiardo"" (vendita OR ""in vendita"") (casa OR appartamento OR villa)"
Web privati,Villar Focchiardo,ERROR,2026-08-17T16:24:07.228369+00:00,0,0,verifica umana / rate limit,"""Villar Focchiardo"" (""privato vende"" OR ""no agenzie"" OR ""da privato"" OR ""da privati"") (casa OR appartamento OR villa)"
Web generale,Borgone Susa,ERROR,2026-08-17T16:24:12.232093+00:00,0,0,verifica umana / rate limit,"""Borgone Susa"" (vendita OR ""in vendita"") (casa OR appartamento OR villa)"
Web privati,Borgone Susa,ERROR,2026-08-17T16:24:17.232675+00:00,0,0,verifica umana / rate limit,"""Borgone Susa"" (""privato vende"" OR ""no agenzie"" OR ""da privato"" OR ""da privati"") (casa OR appartamento OR villa)"
