FUNZIONARIO,NUM_FUNZIONARIO,STATO_ASSEGNAZIONE,TERRITORIO_OPERATIVO,STATO_GIRO,STATO_MERCATO,PRIORITA,SCORE,TIPO_OPPORTUNITA,TARGET,FASE_PROGETTO,OBIETTIVO_COMMERCIALE,COMUNE,DOVE_ANDRE,COSA_CERCO,PREZZO,FONTE,SELLER_SIGNAL,AZIONE,PDF_DA_VERIFICARE,URL,F1_INDIRIZZO_REMOTO_URL
,,DA_ASSEGNARE,SI,DA_VERIFICARE,NEW,MEDIA,65,EDILIZIO_ATTO_EDILIZIO_DA_ANALIZZARE,PROFESSIONISTA / CANTIERE,DETERMINA SERVIZIO TECNICO N° 81/50 del 29/05/26 Oggetto: CIG BBDC265A6F. AFFIDAMENTO DIRETTO AI SENSI DELL'ART. 50 COMMA 1 LETT. B) DEL D. LGS. 36/2023 A FAURE,ACQUISIZIONE / NETWORKING TERRITORIALE,Gravere,DA APPROFONDIRE,Atto edilizio da analizzare · DETERMINA SERVIZIO TECNICO N° 81/50 del 29/05/26 Oggetto: CIG BBDC265A6F. AFFIDAMENTO DIRETTO AI SENSI DELL'ART. 50 COMMA 1 LETT. B) DEL D. LGS. 36/2023 A FAURE SCAVI SRL PER LA FORNITURA DI STABILIZZATO PER LA MANUTENZIONE STRAORDINARIA DELLA STRADA DEL DEVEYS.,NON APPLICABILE,RADAR EDILIZIO F1,RADAR_EDILIZIO,APRI FONTE → TROVA INDIRIZZO → TROVA TECNICO/IMPRESA → QUALIFICA PER ACQUISIZIONE,,https://www.servizipubblicaamministrazione.it/servizi/saturnweb/Dettaglio.aspx?Pub=3511&RicCro=1&CE=grvr1245,
,,DA_ASSEGNARE,SI,DA_VERIFICARE,NEW,MEDIA,65,EDILIZIO_ELENCO_CILA,PROFESSIONISTA / CANTIERE,Albo 372/2026 - elenco CILA 01/03/2026–31/07/2026,ACQUISIZIONE / NETWORKING TERRITORIALE,Pragelato,DA APPROFONDIRE,"Elenco CILA · Albo 372/2026 - elenco CILA 01/03/2026–31/07/2026 · Elenco CILA. Segnale storico/pubblico da aprire, qualificare e collegare a tecnico, impresa e cantiere.",NON APPLICABILE,RADAR EDILIZIO F1,RADAR_EDILIZIO,APRIRE ATTO / VERIFICARE INDIRIZZO / CERCARE TECNICO E IMPRESA / INSERIRE CONTATTO PROFESSIONALE,,,
,,DA_ASSEGNARE,SI,DA_VERIFICARE,NEW,MEDIA,65,EDILIZIO_ELENCO_SCIA,PROFESSIONISTA / CANTIERE,Albo 371/2026 - elenco SCIA 01/03/2026–31/07/2026,ACQUISIZIONE / NETWORKING TERRITORIALE,Pragelato,DA APPROFONDIRE,"Elenco SCIA · Albo 371/2026 - elenco SCIA 01/03/2026–31/07/2026 · Elenco SCIA. Segnale storico/pubblico da aprire, qualificare e collegare a tecnico, impresa e cantiere.",NON APPLICABILE,RADAR EDILIZIO F1,RADAR_EDILIZIO,APRIRE ATTO / VERIFICARE INDIRIZZO / CERCARE TECNICO E IMPRESA / INSERIRE CONTATTO PROFESSIONALE,,,
,,DA_ASSEGNARE,SI,DA_VERIFICARE,NEW,BASSA,45,EDILIZIO_SCIA,PROFESSIONISTA / CANTIERE,SCIA 102/2026,ACQUISIZIONE / NETWORKING TERRITORIALE,Sant’Ambrogio di Torino,DA APPROFONDIRE,"SCIA · SCIA 102/2026 · SCIA. Segnale storico/pubblico da aprire, qualificare e collegare a tecnico, impresa e cantiere.",NON APPLICABILE,RADAR EDILIZIO F1,RADAR_EDILIZIO,APRIRE ATTO / VERIFICARE INDIRIZZO / CERCARE TECNICO E IMPRESA / INSERIRE CONTATTO PROFESSIONALE,,,
,,DA_ASSEGNARE,SI,DA_VERIFICARE,NEW,MEDIA,75,EDILIZIO_PERMESSO_DI_COSTRUIRE_AUTORIZZAZIONE,PROFESSIONISTA / CANTIERE,Albo 405/2026 - autorizzazione L.R. 45/89 n. 85/2025,ACQUISIZIONE / NETWORKING TERRITORIALE,Sauze d’Oulx,DA APPROFONDIRE,Permesso di costruire / autorizzazione · Avviso di rilascio pubblicato nell’Albo Pretorio digitale; allegato non scaricabile durante la verifica iniziale.,NON APPLICABILE,RADAR EDILIZIO F1,RADAR_EDILIZIO,"Ritentare il documento allegato e ricavare indirizzo, tecnico e impresa.",,https://www.servizipubblicaamministrazione.it/servizi/saturnweb/Dettaglio.aspx?CE=szdlx254&Pub=10385&Tipo=10,
,,DA_ASSEGNARE,SI,DA_VERIFICARE,NEW,BASSA,45,EDILIZIO_SCIA,PROFESSIONISTA / CANTIERE,SCIA 97/2026,ACQUISIZIONE / NETWORKING TERRITORIALE,Sant’Ambrogio di Torino,DA APPROFONDIRE,"SCIA · SCIA 97/2026 · SCIA. Segnale storico/pubblico da aprire, qualificare e collegare a tecnico, impresa e cantiere.",NON APPLICABILE,RADAR EDILIZIO F1,RADAR_EDILIZIO,APRIRE ATTO / VERIFICARE INDIRIZZO / CERCARE TECNICO E IMPRESA / INSERIRE CONTATTO PROFESSIONALE,,,
,,DA_ASSEGNARE,SI,DA_VERIFICARE,NEW,BASSA,45,EDILIZIO_SCIA,PROFESSIONISTA / CANTIERE,SCIA 96/2026,ACQUISIZIONE / NETWORKING TERRITORIALE,Sant’Ambrogio di Torino,DA APPROFONDIRE,"SCIA · SCIA 96/2026 · SCIA. Segnale storico/pubblico da aprire, qualificare e collegare a tecnico, impresa e cantiere.",NON APPLICABILE,RADAR EDILIZIO F1,RADAR_EDILIZIO,APRIRE ATTO / VERIFICARE INDIRIZZO / CERCARE TECNICO E IMPRESA / INSERIRE CONTATTO PROFESSIONALE,,,
,,DA_ASSEGNARE,SI,DA_VERIFICARE,NEW,BASSA,45,EDILIZIO_CONFORMIT,PROFESSIONISTA / CANTIERE,Accertamento conformità 72/2026,ACQUISIZIONE / NETWORKING TERRITORIALE,Sant’Ambrogio di Torino,DA APPROFONDIRE,"Conformità · Accertamento conformità 72/2026 · Conformità. Segnale storico/pubblico da aprire, qualificare e collegare a tecnico, impresa e cantiere.",NON APPLICABILE,RADAR EDILIZIO F1,RADAR_EDILIZIO,APRIRE ATTO / VERIFICARE INDIRIZZO / CERCARE TECNICO E IMPRESA / INSERIRE CONTATTO PROFESSIONALE,,,
,,DA_ASSEGNARE,SI,DA_VERIFICARE,NEW,BASSA,45,EDILIZIO_SCIA,PROFESSIONISTA / CANTIERE,SCIA 85/2026,ACQUISIZIONE / NETWORKING TERRITORIALE,Sant’Ambrogio di Torino,DA APPROFONDIRE,"SCIA · SCIA 85/2026 · SCIA. Segnale storico/pubblico da aprire, qualificare e collegare a tecnico, impresa e cantiere.",NON APPLICABILE,RADAR EDILIZIO F1,RADAR_EDILIZIO,APRIRE ATTO / VERIFICARE INDIRIZZO / CERCARE TECNICO E IMPRESA / INSERIRE CONTATTO PROFESSIONALE,,,
,,DA_ASSEGNARE,SI,DA_VERIFICARE,NEW,BASSA,45,EDILIZIO_CONFORMIT,PROFESSIONISTA / CANTIERE,Accertamento conformità 81/2026,ACQUISIZIONE / NETWORKING TERRITORIALE,Sant’Ambrogio di Torino,DA APPROFONDIRE,"Conformità · Accertamento conformità 81/2026 · Conformità. Segnale storico/pubblico da aprire, qualificare e collegare a tecnico, impresa e cantiere.",NON APPLICABILE,RADAR EDILIZIO F1,RADAR_EDILIZIO,APRIRE ATTO / VERIFICARE INDIRIZZO / CERCARE TECNICO E IMPRESA / INSERIRE CONTATTO PROFESSIONALE,,,
,,DA_ASSEGNARE,SI,DA_VERIFICARE,NEW,BASSA,45,EDILIZIO_PERMESSO_DI_COSTRUIRE_IN_SANATORIA,PROFESSIONISTA / CANTIERE,PDC in sanatoria 26/2026 - Albo 339/2026,ACQUISIZIONE / NETWORKING TERRITORIALE,Sauze d’Oulx,DA APPROFONDIRE,"Permesso di costruire in sanatoria · PDC in sanatoria 26/2026 - Albo 339/2026 · Permesso di costruire in sanatoria. Segnale storico/pubblico da aprire, qualificare e collegare a tecnico, impresa e cantiere.",NON APPLICABILE,RADAR EDILIZIO F1,RADAR_EDILIZIO,APRIRE ATTO / VERIFICARE INDIRIZZO / CERCARE TECNICO E IMPRESA / INSERIRE CONTATTO PROFESSIONALE,,,
,,DA_ASSEGNARE,SI,DA_VERIFICARE,NEW,MEDIA,65,EDILIZIO_PERMESSO_DI_COSTRUIRE,PROFESSIONISTA / CANTIERE,PDC 86/2025 - Albo 330/2026,ACQUISIZIONE / NETWORKING TERRITORIALE,Sauze d’Oulx,DA APPROFONDIRE,"Permesso di costruire · PDC 86/2025 - Albo 330/2026 · Permesso di costruire. Segnale storico/pubblico da aprire, qualificare e collegare a tecnico, impresa e cantiere.",NON APPLICABILE,RADAR EDILIZIO F1,RADAR_EDILIZIO,APRIRE ATTO / VERIFICARE INDIRIZZO / CERCARE TECNICO E IMPRESA / INSERIRE CONTATTO PROFESSIONALE,,,
,,DA_ASSEGNARE,SI,DA_VERIFICARE,NEW,BASSA,45,EDILIZIO_SCIA,PROFESSIONISTA / CANTIERE,SCIA 54/2026,ACQUISIZIONE / NETWORKING TERRITORIALE,Sant’Ambrogio di Torino,DA APPROFONDIRE,"SCIA · SCIA 54/2026 · SCIA. Segnale storico/pubblico da aprire, qualificare e collegare a tecnico, impresa e cantiere.",NON APPLICABILE,RADAR EDILIZIO F1,RADAR_EDILIZIO,APRIRE ATTO / VERIFICARE INDIRIZZO / CERCARE TECNICO E IMPRESA / INSERIRE CONTATTO PROFESSIONALE,,,
,,DA_ASSEGNARE,SI,FERMATA_PRONTA,NEW,MEDIA,75,EDILIZIO_NUOVA_COSTRUZIONE_IMPIANTO,PROFESSIONISTA / CANTIERE,PDC 33/2026 / SUAP 1003/2025,ACQUISIZIONE / NETWORKING TERRITORIALE,Sant’Ambrogio di Torino,Via Celle,"Nuova costruzione impianto · Nuova costruzione: impianto fotovoltaico 331,76 kW, cabina elettrica, infrastrutture e opere connesse. · Geometra · Simone Operto · TEL 0172 726344 · EMAIL simone.operto@gmail.com",NON APPLICABILE,RADAR EDILIZIO F1,RADAR_EDILIZIO,Contattare il tecnico e l’impresa per networking territoriale e cantieri futuri. · RIFERIMENTO: Geometra · Simone Operto · TEL 0172 726344 · EMAIL simone.operto@gmail.com,,https://www.comune.santambrogioditorino.to.it/portals/1499/SiscomArchivio/8/PDC33_2026.pdf,
