FUNZIONARIO,NUM_FUNZIONARIO,STATO_ASSEGNAZIONE,TERRITORIO_OPERATIVO,STATO_GIRO,STATO_MERCATO,PRIORITA,SCORE,TIPO_OPPORTUNITA,TARGET,FASE_PROGETTO,OBIETTIVO_COMMERCIALE,COMUNE,DOVE_ANDRE,COSA_CERCO,PREZZO,FONTE,SELLER_SIGNAL,AZIONE,PDF_DA_VERIFICARE,URL,F1_INDIRIZZO_REMOTO_URL
FUNZIONARIO 1,1,ASSEGNATO,SI,FERMATA_PRONTA,POSSIBILE_USCITA,MEDIA,55,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Chiomonte,via III Reggimento,Appartamento in in vendita da privato a Chiomonte via III Reggimento,PREZZO DA VERIFICARE,TrovaCasa privati,INDIZIO_PRIVATO,VAI IN ZONA,,https://www.trovacasa.it/annunci/to-tc-3427-72524015,
FUNZIONARIO 2,2,ASSEGNATO,SI,FERMATA_PRONTA,TRACKED,BASSA,43,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,San Giorio di Susa,frazione Città San Giorio di Susa. Buono,Vendita Villa unifamiliare in frazione Città San Giorio di Susa. Buono,PREZZO DA VERIFICARE,Immobiliare.it,INDIZIO_PRIVATO,VAI IN ZONA,,https://www.immobiliare.it/annunci/64042064/,
FUNZIONARIO 3,3,ASSEGNATO,SI,FERMATA_PRONTA,NEW,BASSA,35,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Borgone Susa,Via A. Abegg 34,"Casa indipendente in vendita in Via A. Abegg, 34, Borgone Susa",65000,Idealista,NON_DETERMINATO,VAI IN ZONA,,https://www.idealista.it/immobile/33742491/,http://127.0.0.1:8765/radar/importa?canonical_id=RADAR-F3BA65FE0F3AF1CF&comune=Borgone+Susa&provincia=TO&via=Via+A.+Abegg&civico=34&url=https%3A%2F%2Fwww.idealista.it%2Fimmobile%2F33742491%2F&titolo=Casa+indipendente+in+vendita+in+Via+A.+Abegg%2C+34%2C+Borgone+Susa+...&segnale=nuova+rilevazione+%7C+prezzo+rilevato&fonte=Idealista&telefono=&telefono_fonte=
FUNZIONARIO 4,4,ASSEGNATO,SI,FERMATA_PRONTA,NEW,BASSA,35,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Exilles,"Via Exilles, 45","Trilocale in vendita in Via Exilles, 45 - idealista",170000,Idealista,NON_DETERMINATO,VAI IN ZONA,,https://www.idealista.it/immobile/36678072/,http://127.0.0.1:8765/radar/importa?canonical_id=RADAR-CBE334D06579DDFD&comune=Exilles&provincia=TO&via=Via+Exilles&civico=45&url=https%3A%2F%2Fwww.idealista.it%2Fimmobile%2F36678072%2F&titolo=Trilocale+in+vendita+in+Via+Exilles%2C+45+-+idealista&segnale=nuova+rilevazione+%7C+prezzo+rilevato&fonte=Idealista&telefono=&telefono_fonte=
FUNZIONARIO 5,5,ASSEGNATO,SI,FERMATA_PRONTA,TRACKED,BASSA,32,RESIDENZIALE,IMMOBILE,AUTORIZZATO_PROGRAMMATO,ACQUISIZIONE IMMOBILE,Bussoleno,Via San Lorenzo 2,"Casa indipendente in vendita a Bussoleno, Via San Lorenzo 2 - 54425376",27000,Tipologie residenziali,NON_DETERMINATO,VAI IN ZONA,,https://www.attico.it/immobile-casa+indipendente-piemonte-bussoleno-54425376/,http://127.0.0.1:8765/radar/importa?canonical_id=RADAR-B601C2A15AF0CFAA&comune=Bussoleno&provincia=TO&via=Via+San+Lorenzo&civico=2&url=https%3A%2F%2Fwww.attico.it%2Fimmobile-casa%2Bindipendente-piemonte-bussoleno-54425376%2F&titolo=Casa+indipendente+in+vendita+a+Bussoleno%2C+Via+San+Lorenzo+2+-+54425376+...&segnale=prezzo+rilevato+%7C+progetto+autorizzato&fonte=Tipologie+residenziali&telefono=&telefono_fonte=
FUNZIONARIO 3,3,ASSEGNATO,SI,FERMATA_PRONTA,NEW,BASSA,30,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Borgone Susa,via Tenente Mario,Vendita Appartamento Borgone Susa. Quadrilocale in via Tenente Mario,PREZZO DA VERIFICARE,Immobiliare.it,NON_DETERMINATO,VAI IN ZONA,,https://www.immobiliare.it/annunci/110228169/,
FUNZIONARIO 3,3,ASSEGNATO,SI,FERMATA_PRONTA,NEW,BASSA,30,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Borgone Susa,Via A. Abegg 68,"Casa indipendente in vendita in Via A. Abegg, 68, Borgone Susa",PREZZO DA VERIFICARE,Idealista,NON_DETERMINATO,VAI IN ZONA,,https://www.idealista.it/immobile/31221200/,http://127.0.0.1:8765/radar/importa?canonical_id=RADAR-D85BA2D8E8FD31F1&comune=Borgone+Susa&provincia=TO&via=Via+A.+Abegg&civico=68&url=https%3A%2F%2Fwww.idealista.it%2Fimmobile%2F31221200%2F&titolo=Casa+indipendente+in+vendita+in+Via+A.+Abegg%2C+68%2C+Borgone+Susa+...&segnale=nuova+rilevazione&fonte=Idealista&telefono=&telefono_fonte=
FUNZIONARIO 3,3,ASSEGNATO,SI,FERMATA_PRONTA,NEW,BASSA,30,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Borgone Susa,Via A. Abegg 34,"Casa indipendente in vendita in Via A. Abegg, 34, Borgone Susa",PREZZO DA VERIFICARE,Idealista,NON_DETERMINATO,VAI IN ZONA,,https://www.idealista.it/immobile/33743415/,http://127.0.0.1:8765/radar/importa?canonical_id=RADAR-D54334BFD94A6603&comune=Borgone+Susa&provincia=TO&via=Via+A.+Abegg&civico=34&url=https%3A%2F%2Fwww.idealista.it%2Fimmobile%2F33743415%2F&titolo=Casa+indipendente+in+vendita+in+Via+A.+Abegg%2C+34%2C+Borgone+Susa+...&segnale=nuova+rilevazione&fonte=Idealista&telefono=&telefono_fonte=
FUNZIONARIO 3,3,ASSEGNATO,SI,FERMATA_PRONTA,NEW,BASSA,30,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Borgone Susa,Via Condove 3,"Villa in vendita in Via Condove, 3, Borgone Susa - idealista",PREZZO DA VERIFICARE,Idealista,NON_DETERMINATO,VAI IN ZONA,,https://www.idealista.it/immobile/33654375/,http://127.0.0.1:8765/radar/importa?canonical_id=RADAR-AC78D9CA08E8CA8B&comune=Borgone+Susa&provincia=TO&via=Via+Condove&civico=3&url=https%3A%2F%2Fwww.idealista.it%2Fimmobile%2F33654375%2F&titolo=Villa+in+vendita+in+Via+Condove%2C+3%2C+Borgone+Susa+-+idealista&segnale=nuova+rilevazione&fonte=Idealista&telefono=&telefono_fonte=
FUNZIONARIO 3,3,ASSEGNATO,SI,FERMATA_PRONTA,NEW,BASSA,30,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Borgone Susa,Via Florio Benvenuto,"Casa indipendente in vendita in Via Florio Benvenuto, Borgone Susa",PREZZO DA VERIFICARE,Idealista,NON_DETERMINATO,VAI IN ZONA,,https://www.idealista.it/immobile/35514401/,
FUNZIONARIO 3,3,ASSEGNATO,SI,FERMATA_PRONTA,NEW,BASSA,30,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Borgone Susa,piazza Montabone 5,"Casa indipendente in vendita in piazza Montabone, 5, Borgone Susa",PREZZO DA VERIFICARE,Idealista,NON_DETERMINATO,VAI IN ZONA,,https://www.idealista.it/immobile/31471280/,http://127.0.0.1:8765/radar/importa?canonical_id=RADAR-C7B5553420C80D17&comune=Borgone+Susa&provincia=TO&via=piazza+Montabone&civico=5&url=https%3A%2F%2Fwww.idealista.it%2Fimmobile%2F31471280%2F&titolo=Casa+indipendente+in+vendita+in+piazza+Montabone%2C+5%2C+Borgone+Susa+...&segnale=nuova+rilevazione&fonte=Idealista&telefono=&telefono_fonte=
FUNZIONARIO 3,3,ASSEGNATO,SI,FERMATA_PRONTA,NEW,BASSA,30,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Borgone Susa,Via Bruno Mosconi 3,"Casa indipendente in vendita in Via Bruno Mosconi, 3, Borgone Susa",PREZZO DA VERIFICARE,Idealista,NON_DETERMINATO,VAI IN ZONA,,https://www.idealista.it/immobile/29849422/,http://127.0.0.1:8765/radar/importa?canonical_id=RADAR-6B20759FF65DDC56&comune=Borgone+Susa&provincia=TO&via=Via+Bruno+Mosconi&civico=3&url=https%3A%2F%2Fwww.idealista.it%2Fimmobile%2F29849422%2F&titolo=Casa+indipendente+in+vendita+in+Via+Bruno+Mosconi%2C+3%2C+Borgone+Susa+...&segnale=nuova+rilevazione&fonte=Idealista&telefono=&telefono_fonte=
FUNZIONARIO 3,3,ASSEGNATO,SI,FERMATA_PRONTA,NEW,BASSA,30,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Borgone Susa,via Bruno Mosconi 2,"Casa indipendente in vendita in via Bruno Mosconi, 2, Borgone Susa",PREZZO DA VERIFICARE,Idealista,NON_DETERMINATO,VAI IN ZONA,,https://www.idealista.it/immobile/30873639/,http://127.0.0.1:8765/radar/importa?canonical_id=RADAR-2811ED392D1360E0&comune=Borgone+Susa&provincia=TO&via=via+Bruno+Mosconi&civico=2&url=https%3A%2F%2Fwww.idealista.it%2Fimmobile%2F30873639%2F&titolo=Casa+indipendente+in+vendita+in+via+Bruno+Mosconi%2C+2%2C+Borgone+Susa+...&segnale=nuova+rilevazione&fonte=Idealista&telefono=&telefono_fonte=
FUNZIONARIO 4,4,ASSEGNATO,SI,FERMATA_PRONTA,NEW,BASSA,30,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Exilles,"Via Exilles, 70","Appartamento su due piani in vendita in Via Exilles, 70, Parella",PREZZO DA VERIFICARE,Idealista,NON_DETERMINATO,VAI IN ZONA,,https://www.idealista.it/immobile/36733098/,http://127.0.0.1:8765/radar/importa?canonical_id=RADAR-030B38A7C0436225&comune=Exilles&provincia=TO&via=Via+Exilles&civico=70&url=https%3A%2F%2Fwww.idealista.it%2Fimmobile%2F36733098%2F&titolo=Appartamento+su+due+piani+in+vendita+in+Via+Exilles%2C+70%2C+Parella+...&segnale=nuova+rilevazione&fonte=Idealista&telefono=&telefono_fonte=
FUNZIONARIO 6,6,ASSEGNATO,SI,FERMATA_PRONTA,NEW,BASSA,30,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Meana di Susa,"Via Gran Borgata, 21","Villetta a schiera in vendita in Via Gran Borgata, 21, Meana di Susa",PREZZO DA VERIFICARE,Idealista,NON_DETERMINATO,VAI IN ZONA,,https://www.idealista.it/immobile/36711241/,http://127.0.0.1:8765/radar/importa?canonical_id=RADAR-F963CD7346D737F9&comune=Meana+di+Susa&provincia=TO&via=Via+Gran+Borgata&civico=21&url=https%3A%2F%2Fwww.idealista.it%2Fimmobile%2F36711241%2F&titolo=Villetta+a+schiera+in+vendita+in+Via+Gran+Borgata%2C+21%2C+Meana+di+Susa+...&segnale=nuova+rilevazione&fonte=Idealista&telefono=&telefono_fonte=
FUNZIONARIO 6,6,ASSEGNATO,SI,FERMATA_PRONTA,NEW,BASSA,30,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Meana di Susa,Via Mattie,"Trilocale in vendita in Via Mattie, Meana di Susa - idealista",PREZZO DA VERIFICARE,Idealista,NON_DETERMINATO,VAI IN ZONA,,https://www.idealista.it/immobile/34528448/,
FUNZIONARIO 7,7,ASSEGNATO,SI,FERMATA_PRONTA,NEW,BASSA,30,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Salbertrand,via Ludovico Bellardi 15,Vendita Appartamento Torino. Bilocale in via Ludovico Bellardi 15,PREZZO DA VERIFICARE,Immobiliare.it,NON_DETERMINATO,VAI IN ZONA,,https://www.immobiliare.it/annunci/129273924/,http://127.0.0.1:8765/radar/importa?canonical_id=RADAR-C1BEE6889390A26A&comune=Salbertrand&provincia=TO&via=via+Ludovico+Bellardi&civico=15&url=https%3A%2F%2Fwww.immobiliare.it%2Fannunci%2F129273924%2F&titolo=Vendita+Appartamento+Torino.+Bilocale+in+via+Ludovico+Bellardi+15+...&segnale=nuova+rilevazione&fonte=Immobiliare.it&telefono=&telefono_fonte=
FUNZIONARIO 8,8,ASSEGNATO,SI,FERMATA_PRONTA,NEW,BASSA,30,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,San Didero,via Maometto 6,Vendita Appartamento San Didero. Quadrilocale in via Maometto 6. Ottimo,PREZZO DA VERIFICARE,Immobiliare.it,NON_DETERMINATO,VAI IN ZONA,,https://www.immobiliare.it/annunci/115306899/,http://127.0.0.1:8765/radar/importa?canonical_id=RADAR-6CF4476129BD7AA6&comune=San+Didero&provincia=TO&via=via+Maometto&civico=6&url=https%3A%2F%2Fwww.immobiliare.it%2Fannunci%2F115306899%2F&titolo=Vendita+Appartamento+San+Didero.+Quadrilocale+in+via+Maometto+6.+Ottimo+...&segnale=nuova+rilevazione&fonte=Immobiliare.it&telefono=&telefono_fonte=
FUNZIONARIO 8,8,ASSEGNATO,SI,FERMATA_PRONTA,TRACKED,BASSA,23,RESIDENZIALE,IMMOBILE,NUOVA_COSTRUZIONE,ACQUISIZIONE IMMOBILE,San Didero,via A.Abegg 1,"Vendita Villa bifamiliare in via A.Abegg 1 San Didero. Nuova, posto",PREZZO DA VERIFICARE,Immobiliare.it,NON_DETERMINATO,VAI IN ZONA,,https://www.immobiliare.it/annunci/124218381/,http://127.0.0.1:8765/radar/importa?canonical_id=RADAR-28894274F36C5D7F&comune=San+Didero&provincia=TO&via=via+A.Abegg&civico=1&url=https%3A%2F%2Fwww.immobiliare.it%2Fannunci%2F124218381%2F&titolo=Vendita+Villa+bifamiliare+in+via+A.Abegg+1+San+Didero.+Nuova%2C+posto+...&segnale=nuova+costruzione&fonte=Immobiliare.it&telefono=&telefono_fonte=
FUNZIONARIO 9,9,ASSEGNATO,SI,FERMATA_PRONTA,POSSIBILE_USCITA,BASSA,23,UFFICIO_DIREZIONALE,IMMOBILE,,ACQUISIZIONE / LOCAZIONE UFFICIO,Villar Focchiardo,Via Preinera a Villar Focchiardo,Capannone in Vendita in Via Preinera a Villar Focchiardo,PREZZO DA VERIFICARE,Casa.it,NON_DETERMINATO,VAI IN ZONA / CONTATTA PER ACQUISIZIONE / LOCAZIONE UFFICIO,,https://www.casa.it/immobili/54638886/,
FUNZIONARIO 10,10,ASSEGNATO,SI,FERMATA_PRONTA,TRACKED,BASSA,23,COMMERCIALE_IMMOBILE,IMMOBILE,,ACQUISIZIONE / LOCAZIONE IMMOBILE COMMERCIALE,Moncenisio,Via Passo del Moncenisio 34,Locale commerciale in Vendita in Via Passo del Moncenisio 34 a Brescia,PREZZO DA VERIFICARE,Casa.it,NON_DETERMINATO,VAI IN ZONA / CONTATTA PER ACQUISIZIONE / LOCAZIONE IMMOBILE COMMERCIALE,,https://www.casa.it/immobili/54655572/,http://127.0.0.1:8765/radar/importa?canonical_id=RADAR-DB6B7AB7990C2564&comune=Moncenisio&provincia=TO&via=Via+Passo+del+Moncenisio&civico=34&url=https%3A%2F%2Fwww.casa.it%2Fimmobili%2F54655572%2F&titolo=Locale+commerciale+in+Vendita+in+Via+Passo+del+Moncenisio+34+a+Brescia+...&segnale=commerciale+immobile&fonte=Casa.it&telefono=&telefono_fonte=
FUNZIONARIO 3,3,ASSEGNATO,SI,FERMATA_PRONTA,RELISTED,BASSA,20,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Borgone Susa,Via A. Abegg 41,"Trilocale in vendita in Via A. Abegg, 41, Borgone Susa - idealista",87000,Idealista,NON_DETERMINATO,VAI IN ZONA,,https://www.idealista.it/immobile/36629494/,http://127.0.0.1:8765/radar/importa?canonical_id=RADAR-259C53008ADC47E6&comune=Borgone+Susa&provincia=TO&via=Via+A.+Abegg&civico=41&url=https%3A%2F%2Fwww.idealista.it%2Fimmobile%2F36629494%2F&titolo=Trilocale+in+vendita+in+Via+A.+Abegg%2C+41%2C+Borgone+Susa+-+idealista&segnale=prezzo+rilevato&fonte=Idealista&telefono=&telefono_fonte=
FUNZIONARIO 3,3,ASSEGNATO,SI,FERMATA_PRONTA,TRACKED,BASSA,20,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Borgone Susa,via Augusto Abegg Borgone Susa. Ottimo,Vendita Villa bifamiliare in via Augusto Abegg Borgone Susa. Ottimo,350000,Immobiliare.it,NON_DETERMINATO,VAI IN ZONA,,https://www.immobiliare.it/annunci/126723751/,
FUNZIONARIO 3,3,ASSEGNATO,SI,FERMATA_PRONTA,TRACKED,BASSA,20,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Borgone Susa,via A. Abegg 18,"Vendita Appartamento Borgone Susa. Trilocale in via A. Abegg, 18. Buono",59000,Immobiliare.it,NON_DETERMINATO,VAI IN ZONA,,https://www.immobiliare.it/annunci/131271224/,http://127.0.0.1:8765/radar/importa?canonical_id=RADAR-36DF642C95EBADC5&comune=Borgone+Susa&provincia=TO&via=via+A.+Abegg&civico=18&url=https%3A%2F%2Fwww.immobiliare.it%2Fannunci%2F131271224%2F&titolo=Vendita+Appartamento+Borgone+Susa.+Trilocale+in+via+A.+Abegg%2C+18.+Buono+...&segnale=prezzo+rilevato&fonte=Immobiliare.it&telefono=&telefono_fonte=
FUNZIONARIO 3,3,ASSEGNATO,SI,FERMATA_PRONTA,TRACKED,BASSA,20,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Borgone Susa,via Augusto Abegg 41,Vendita Appartamento Borgone Susa. Quadrilocale in via Augusto Abegg 41,87000,Immobiliare.it,NON_DETERMINATO,VAI IN ZONA,,https://www.immobiliare.it/annunci/127550838/,http://127.0.0.1:8765/radar/importa?canonical_id=RADAR-A4D364C5FFD5F86B&comune=Borgone+Susa&provincia=TO&via=via+Augusto+Abegg&civico=41&url=https%3A%2F%2Fwww.immobiliare.it%2Fannunci%2F127550838%2F&titolo=Vendita+Appartamento+Borgone+Susa.+Quadrilocale+in+via+Augusto+Abegg+41+...&segnale=prezzo+rilevato&fonte=Immobiliare.it&telefono=&telefono_fonte=
,,IN_ATTESA_TEAM,SI,FERMATA_PRONTA,TRACKED,BASSA,20,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Sant'Antonino di Susa,via Giuseppe,Vendita Appartamento Sant'Antonino di Susa. Trilocale in via Giuseppe,34832,Immobiliare.it,NON_DETERMINATO,VAI IN ZONA,,https://www.immobiliare.it/annunci/126297931/,
FUNZIONARIO 3,3,ASSEGNATO,SI,FERMATA_PRONTA,TRACKED,BASSA,20,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Borgone Susa,frazione Chiampano Borgone Susa,Vendita Terratetto plurifamiliare in frazione Chiampano Borgone Susa,29000,Immobiliare.it,NON_DETERMINATO,VAI IN ZONA,,https://www.immobiliare.it/annunci/130136162/,
FUNZIONARIO 5,5,ASSEGNATO,SI,FERMATA_PRONTA,POSSIBILE_USCITA,BASSA,20,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Bussoleno,via Torino Mattie. Buono stato,"Vendita Villa plurifamiliare in via Torino Mattie. Buono stato, posto",78000,Immobiliare.it,NON_DETERMINATO,VAI IN ZONA,,https://www.immobiliare.it/annunci/129054684/,
