COMUNE,STOCK_ATTIVO,NUOVI_30G,USCITE_OSSERVATE_30G,RIBASSI_30G,PREZZO_MEDIO,PREZZO_MEDIANO,PREZZO_MQ_MEDIO,PREZZO_MQ_MEDIANO,PERMANENZA_MEDIANA_GG,GIORNI_MEDI_PRIMO_RIBASSO,RIBASSO_MEDIO_PCT,TURNOVER_OSSERVATO_30G_PCT,TIPOLOGIA_PIU_OFFERTA,TIPOLOGIA_ROTAZIONE_RAPIDA_PROXY,VENDUTI_CONFERMATI,ULTIMO_AGGIORNAMENTO
Almese,11,26,15,2,228142.86,226000.0,663.69,663.69,12.0,4.0,2.02,136.4,villa,commerciale,0,2026-09-10T01:33+02:00
Alpignano,14,34,20,2,158833.33,162000.0,333.33,333.33,5.0,4.5,0.0,142.9,appartamento,appartamento,1,2026-09-10T01:33+02:00
Avigliana,16,54,38,2,141222.22,119000.0,1187.81,1666.67,8.5,3.5,42.69,237.5,appartamento,altro,0,2026-09-10T01:33+02:00
Bardonecchia,17,42,25,1,137500.0,129000.0,,,8.0,0.0,97.19,147.1,appartamento,appartamento,1,2026-09-10T01:33+02:00
Beinasco,14,23,9,1,408600.0,175000.0,1001.82,1001.82,1.0,0.0,0.0,64.3,appartamento,altro,0,2026-09-10T01:33+02:00
Borgone Susa,13,44,31,0,164214.29,87000.0,713.11,713.11,12.0,,,238.5,appartamento,villa,1,2026-09-10T01:33+02:00
Bruino,13,16,3,1,262000.0,244000.0,3375.22,3117.65,1.0,1.0,0.0,23.1,appartamento,rustico/casale,0,2026-09-10T01:33+02:00
Bruzolo,0,9,9,2,,,,,,1.5,0.0,900.0,,villa,0,2026-09-10T01:33+02:00
Bussoleno,6,18,12,1,215600.0,185000.0,4700.0,4700.0,6.0,6.0,0.0,200.0,appartamento,commerciale,0,2026-09-10T01:33+02:00
Buttigliera Alta,4,19,15,1,221333.33,79000.0,493.75,493.75,10.5,13.0,50.31,375.0,commerciale,villa,0,2026-09-10T01:33+02:00
Caprie,2,12,10,0,49000.0,49000.0,,,8.0,,,500.0,appartamento,commerciale,1,2026-09-10T01:33+02:00
Caselette,8,16,8,0,611000.0,258000.0,1290.0,1290.0,10.5,,,100.0,villa,appartamento,0,2026-09-10T01:33+02:00
Chianocco,1,9,8,0,,,,,4.0,,,800.0,rustico/casale,commerciale,0,2026-09-10T01:33+02:00
Chiomonte,7,13,6,0,,,,,7.0,,,85.7,appartamento,appartamento,0,2026-09-10T01:33+02:00
Chiusa di San Michele,12,16,4,0,158000.0,158000.0,1053.33,1053.33,13.0,,,33.3,appartamento,appartamento,0,2026-09-10T01:33+02:00
Coazze,12,21,9,0,129000.0,129000.0,505.88,505.88,8.0,,,75.0,appartamento,casa indipendente,0,2026-09-10T01:33+02:00
Collegno,15,62,47,0,,,,,5.0,,,313.3,appartamento,altro,0,2026-09-10T01:33+02:00
Condove,10,26,16,0,,,,,10.5,,,160.0,casa indipendente,appartamento,0,2026-09-10T01:33+02:00
Druento,8,15,7,0,,,,,1.0,,,87.5,villa,appartamento,0,2026-09-10T01:33+02:00
Exilles,8,13,5,0,,,,,8.0,,,62.5,appartamento,altro,0,2026-09-10T01:33+02:00
Ferriera di Buttigliera Alta,3,8,5,0,,,,,4.0,,,166.7,appartamento,villa,0,2026-09-10T01:33+02:00
Fiano,15,17,2,0,,,,,1.0,,,13.3,villa,commerciale,0,2026-09-10T01:33+02:00
Giaglione,1,5,4,0,,,,,13.0,,,400.0,rustico/casale,altro,0,2026-09-10T01:33+02:00
Giaveno,12,40,28,0,,,,,6.0,,,233.3,appartamento,villa,0,2026-09-10T01:33+02:00
Givoletto,12,14,2,0,265000.0,265000.0,1472.22,1472.22,1.0,,,16.7,villa,villa,0,2026-09-10T01:33+02:00
Gravere,4,8,4,0,,,,,11.5,,,100.0,appartamento,appartamento,0,2026-09-10T01:33+02:00
Grugliasco,17,58,41,0,164500.0,118500.0,806.12,806.12,6.0,,,241.2,appartamento,altro,0,2026-09-10T01:33+02:00
La Cassa,7,20,13,0,,,,,1.0,,,185.7,appartamento,appartamento,0,2026-09-10T01:33+02:00
Mattie,5,9,4,0,40000.0,40000.0,,,13.0,,,80.0,appartamento,appartamento,0,2026-09-10T01:33+02:00
Meana di Susa,2,17,15,0,45000.0,45000.0,319.15,319.15,16.0,,,750.0,casa indipendente,casa indipendente,0,2026-09-10T01:33+02:00
Mompantero,2,6,4,0,,,,,6.0,,,200.0,appartamento,villa,0,2026-09-10T01:33+02:00
Moncenisio,8,18,10,0,,,,,5.5,,,125.0,appartamento,appartamento,0,2026-09-10T01:33+02:00
Novalesa,1,2,1,0,,,,,6.0,,,100.0,casa indipendente,villa,0,2026-09-10T01:33+02:00
Oulx,16,29,13,0,158000.0,158000.0,,,7.0,,,81.2,appartamento,altro,0,2026-09-10T01:33+02:00
Pianezza,13,42,29,0,22000.0,22000.0,183.33,183.33,8.0,,,223.1,appartamento,appartamento,0,2026-09-10T01:33+02:00
Reano,5,10,5,0,,,,,1.0,,,100.0,villa,villa,0,2026-09-10T01:33+02:00
Rivalta di Torino,0,4,4,0,,,,,,,,400.0,,villa,0,2026-09-10T01:33+02:00
Rivoli,21,71,50,0,,,,,7.0,,,238.1,appartamento,villa,1,2026-09-10T01:33+02:00
Robassomero,6,7,1,0,,,,,1.0,,,16.7,appartamento,villa,0,2026-09-10T01:33+02:00
Rosta,11,43,32,0,437000.0,437000.0,,,4.0,,,290.9,appartamento,appartamento,0,2026-09-10T01:33+02:00
Rubiana,5,21,16,0,,,,,6.0,,,320.0,casa indipendente,appartamento,0,2026-09-10T01:33+02:00
Salbertrand,8,10,2,0,,,,,5.5,,,25.0,appartamento,appartamento,0,2026-09-10T01:33+02:00
San Didero,6,21,15,0,,,,,13.0,,,250.0,villa,casa indipendente,0,2026-09-10T01:33+02:00
San Gillio,3,4,1,0,,,,,1.0,,,33.3,villa,appartamento,0,2026-09-10T01:33+02:00
San Giorio,2,2,0,0,34500.0,34500.0,,,15.0,,,0.0,villa,,0,2026-09-10T01:33+02:00
San Giorio di Susa,13,31,18,0,,,,,12.0,,,138.5,appartamento,casa indipendente,0,2026-09-10T01:33+02:00
San Valeriano,9,18,9,0,87000.0,87000.0,,,7.0,,,100.0,appartamento,appartamento,1,2026-09-10T01:33+02:00
Sangano,3,8,5,0,429000.0,429000.0,2357.14,2357.14,3.0,,,166.7,villa,appartamento,0,2026-09-10T01:33+02:00
Sant'Ambrogio di Torino,10,17,7,0,194996.67,225000.0,1166.9,1125.0,7.5,,,70.0,villa,appartamento,0,2026-09-10T01:33+02:00
Sant'Antonino di Susa,13,32,19,0,,,,,7.0,,,146.2,appartamento,villa,0,2026-09-10T01:33+02:00
Susa,9,26,17,0,67500.0,67500.0,153.06,153.06,8.0,,,188.9,appartamento,appartamento,0,2026-09-10T01:33+02:00
Trana,10,19,9,0,125000.0,125000.0,,,18.0,,,90.0,villa,villa,0,2026-09-10T01:33+02:00
Vaie,7,9,2,0,95000.0,95000.0,,,13.0,,,28.6,villa,appartamento,0,2026-09-10T01:33+02:00
Val della Torre,2,28,26,0,,,,,6.5,,,1300.0,commerciale,rustico/casale,0,2026-09-10T01:33+02:00
Valgioie,5,8,3,0,,,,,13.0,,,60.0,casa indipendente,villa,0,2026-09-10T01:33+02:00
Varisella,1,1,0,0,,,,,1.0,,,0.0,villa,,0,2026-09-10T01:33+02:00
Venaus,2,8,6,0,44043.0,44043.0,,,5.5,,,300.0,appartamento,appartamento,0,2026-09-10T01:33+02:00
Villar Dora,3,11,8,0,,,,,12.0,,,266.7,altro,appartamento,0,2026-09-10T01:33+02:00
Villar Focchiardo,8,26,18,0,,,,,0.0,,,225.0,villa,altro,0,2026-09-10T01:33+02:00
