COMUNE,TIPOLOGIA,STOCK_ATTIVO,USCITE_OSSERVATE,PREZZO_MEDIANO,PREZZO_MQ_MEDIANO,PERMANENZA_MEDIANA_GG,RIBASSO_MEDIO_PCT
Almese,appartamento,2,0,27000.0,320.0,3.0,
Almese,casa indipendente,5,0,150000.0,,5.0,
Almese,commerciale,1,0,,,0.0,
Almese,terreno,2,0,,,6.0,
Almese,villa,4,0,299000.0,,6.0,
Alpignano,altro,2,0,144500.0,,3.0,
Alpignano,appartamento,3,0,136500.0,,0.0,
Alpignano,commerciale,1,0,140000.0,333.33,0.0,
Alpignano,villa,6,0,10000.0,,0.0,
Avigliana,altro,1,0,,,4.0,
Avigliana,appartamento,14,0,168500.0,1820.67,0.0,
Avigliana,casa indipendente,1,0,25000.0,,0.0,
Avigliana,commerciale,1,0,,,0.0,
Avigliana,villa,4,0,187000.0,1273.34,3.0,
Bardonecchia,altro,5,0,232500.0,,0.0,
Bardonecchia,appartamento,13,0,156500.0,3000.0,0.0,
Bardonecchia,commerciale,1,0,,,0.0,
Bardonecchia,rustico/casale,1,0,,,0.0,
Borgone Susa,altro,1,0,,,6.0,
Borgone Susa,appartamento,10,0,87000.0,814.45,0.0,
Borgone Susa,casa indipendente,1,0,29000.0,,0.0,
Borgone Susa,villa,6,0,350000.0,,0.0,
Bruzolo,casa indipendente,3,0,185000.0,,0.0,
Bruzolo,rustico/casale,1,0,,,6.0,
Bruzolo,villa,1,0,,,6.0,
Bussoleno,altro,1,0,,,4.0,
Bussoleno,appartamento,2,0,289000.0,3400.0,0.0,
Bussoleno,casa indipendente,2,0,,,0.0,
Bussoleno,commerciale,2,0,,,0.0,
Buttigliera Alta,altro,1,0,,,4.0,
Buttigliera Alta,casa indipendente,1,0,159000.0,993.75,4.0,
Buttigliera Alta,villa,3,0,15000.0,,5.0,
Caprie,altro,1,0,,,0.0,
Caprie,appartamento,1,0,,,0.0,
Caselette,altro,1,0,,,6.0,
Caselette,appartamento,3,0,,,0.0,
Caselette,villa,2,0,258000.0,1290.0,5.0,
Chianocco,altro,1,0,,,6.0,
Chianocco,appartamento,1,0,,,0.0,
Chianocco,commerciale,2,0,,,0.0,
Chianocco,rustico/casale,1,0,,,0.0,
Chianocco,villa,2,0,53000.0,,2.5,
Chiusa di San Michele,appartamento,8,0,158000.0,1053.33,0.0,
Chiusa di San Michele,casa indipendente,1,0,,,5.0,
Chiusa di San Michele,villa,2,0,,,3.0,
Coazze,appartamento,4,0,,,0.0,
Coazze,casa indipendente,2,0,,,0.0,
Collegno,altro,3,0,115000.0,,6.0,
Collegno,appartamento,11,0,114000.0,,0.0,
Collegno,terreno,1,0,,,0.0,
Collegno,villa,1,0,,,0.0,
Condove,altro,1,0,,,4.0,
Condove,appartamento,4,0,,,0.0,
Condove,casa indipendente,4,0,,,0.0,
Condove,rustico/casale,1,0,,,0.0,
Giaglione,altro,2,0,,,0.0,
Giaglione,casa indipendente,1,0,,,0.0,
Giaglione,rustico/casale,1,0,,,0.0,
Giaveno,altro,2,0,20000.0,,3.0,
Giaveno,appartamento,5,0,,,0.0,
Giaveno,casa indipendente,1,0,,,0.0,
Giaveno,commerciale,1,0,,,0.0,
Giaveno,villa,3,0,,,0.0,
Gravere,altro,1,0,,,6.0,
Gravere,appartamento,1,0,,,4.0,
Gravere,casa indipendente,1,0,,,4.0,
Grugliasco,altro,1,0,,,6.0,
Grugliasco,appartamento,13,0,120000.0,,0.0,
Grugliasco,commerciale,3,0,,,0.0,
Grugliasco,villa,1,0,,,0.0,
Mattie,altro,1,0,,,0.0,
Mattie,appartamento,5,0,,,0.0,
Mattie,casa indipendente,1,0,,,6.0,
Meana di Susa,altro,1,0,,,6.0,
Meana di Susa,appartamento,1,0,,,0.0,
Meana di Susa,casa indipendente,1,0,,,6.0,
Meana di Susa,villa,2,0,,,0.0,
Mompantero,altro,1,0,24000.0,,4.0,
Mompantero,rustico/casale,1,0,15000.0,115.38,6.0,
Mompantero,villa,1,0,,,6.0,
Novalesa,appartamento,1,0,,,0.0,
Oulx,altro,2,0,,,6.0,
Oulx,appartamento,12,0,10000.0,500.0,0.0,
Pianezza,altro,1,0,,,6.0,
Pianezza,appartamento,10,0,169000.0,,6.0,
Pianezza,casa indipendente,2,0,449000.0,,6.0,
Pianezza,commerciale,1,0,,,0.0,
Pianezza,villa,4,0,339000.0,2245.03,3.0,
Reano,altro,1,0,,,5.0,
Reano,villa,1,0,,,0.0,
Rivoli,altro,1,0,,,5.0,
Rivoli,appartamento,11,0,,,0.0,
Rivoli,casa indipendente,1,0,,,0.0,
Rivoli,commerciale,4,0,,,0.0,
Rosta,altro,2,0,150000.0,,8.0,
Rosta,appartamento,3,0,,,0.0,
Rosta,casa indipendente,2,0,,,0.0,
Rosta,commerciale,2,0,,,0.0,
Rosta,rustico/casale,1,0,,,0.0,
Rosta,villa,6,0,334500.0,1736.84,0.0,
Rubiana,altro,1,0,,,0.0,
Rubiana,appartamento,6,0,,,0.0,
Rubiana,casa indipendente,1,0,,,0.0,
Rubiana,villa,1,0,,,0.0,
San Didero,altro,1,0,,,6.0,
San Didero,appartamento,1,0,,,0.0,
San Didero,casa indipendente,1,0,,,0.0,
San Didero,terreno,1,0,10500.0,,0.0,
San Didero,villa,3,0,,,0.0,
San Giorio,commerciale,1,0,,,0.0,
San Giorio,villa,1,0,34500.0,,5.0,
San Valeriano,appartamento,4,0,,,0.0,
San Valeriano,terreno,1,0,,,0.0,
Sant'Antonino di Susa,appartamento,12,0,34832.0,622.0,0.0,
Sant'Antonino di Susa,villa,3,0,,,4.0,
Susa,appartamento,8,0,,,0.0,
Susa,casa indipendente,1,0,,,0.0,
Trana,appartamento,4,0,185000.0,,5.0,
Trana,casa indipendente,2,0,120000.0,,5.0,
Trana,mansarda,1,0,,,5.0,
Trana,rustico/casale,1,0,,,5.0,
Trana,villa,6,0,,,4.5,
Vaie,appartamento,4,0,,,0.0,
Vaie,villa,2,0,,,5.0,
Val della Torre,appartamento,2,0,,,3.0,
Val della Torre,casa indipendente,1,0,,,0.0,
Val della Torre,rustico/casale,1,0,89000.0,593.33,0.0,
Val della Torre,villa,2,0,389000.0,,2.5,
Valgioie,altro,1,0,,,5.0,
Valgioie,appartamento,2,0,,,0.0,
