COMUNE,VIA,IMMOBILI_MONITORATI,STOCK_ATTIVO,PREZZO_MEDIANO,PREZZO_MQ_MEDIANO,PERMANENZA_MEDIANA_GG,RIBASSI_RILEVATI,USCITE_OSSERVATE
Almese,Piazza Martiri della Libertà,1,0,,,17.0,0,1
Almese,VIA AVIGLIANA,1,0,,,13.0,0,1
Almese,Via Almese,1,0,,,15.0,0,1
Almese,Via Roma,2,0,,,0.0,0,2
Almese,Via Rubiana,2,1,150000.0,,16.0,0,1
Almese,Via Ruffini,1,1,,,0.0,0,0
Almese,frazione Tuberghengo,1,0,,,6.0,0,1
Almese,piazza Martiri della Libertà,1,0,,,0.0,0,1
Almese,via Almese,1,0,,,3.0,0,1
Almese,via Almese Alpignano. Buono stato,1,1,226000.0,,13.0,0,0
Almese,via Almese. Collegno. Ottimo stato,1,0,,,4.0,0,1
Almese,via Braida,1,0,,,0.0,0,1
Almese,via Capolo,1,0,,,6.0,0,1
Almese,via Montecapretto,1,0,,,0.0,0,1
Almese,via Morsino,1,0,,,0.0,0,1
Almese,via Rivera,3,2,295000.0,,3.0,0,1
Almese,via Roma,2,2,46000.0,,9.5,0,0
Almese,via Rubiana,3,3,325000.0,663.69,12.0,4,0
Almese,via alma bertolo,1,1,,,19.0,0,0
Alpignano,Strada della Costa,1,0,,,4.0,0,1
Alpignano,Via Alpignano,1,0,,,0.0,0,1
Alpignano,"Via Biancone Piemonte, Torino Visualizza foto Villetta indipendente in vendita di",1,0,,,2.0,0,1
Alpignano,Via Collegno,1,0,,,6.0,0,1
Alpignano,Via Della costa,1,0,,,6.0,0,1
Alpignano,Via Monte Bianco,1,0,,,1.0,0,1
Alpignano,Via Primo Maggio,1,0,,,0.0,0,1
Alpignano,Via Primo maggio - Centro Storico,1,1,,,5.0,0,0
Alpignano,Via Valle,1,0,,,0.0,0,1
Alpignano,Via dei Ronchi,1,1,140000.0,333.33,12.0,10,0
Alpignano,"Via dei Ronchi, si propone in locazione un capannone di circa",4,0,,,3.0,4,4
Alpignano,corso Torino,1,1,,,1.0,0,0
Alpignano,via 11 Febbraio,1,0,,,9.0,0,1
Alpignano,via 25 Aprile Alpignano. Posto auto,1,0,,,6.0,0,1
Alpignano,via Alpignano,2,0,,,0.0,0,2
Alpignano,via Beinasco,1,1,195000.0,,8.0,0,0
Alpignano,via Buttigliera Alpignano. Buono stato,1,0,,,1.0,0,1
Alpignano,via Campagnola Alpignano. Ottimo stato,1,1,,,13.0,0,0
Alpignano,via Caselette Alpignano. Ottimo stato,1,0,,,0.0,0,1
Alpignano,via Collegno Alpignano. Posto auto,1,1,,,8.0,0,0
Alpignano,via Germano Sommeiller,1,1,29000.0,,2.0,0,0
Alpignano,via Giacomo Matteotti,1,1,,,13.0,0,0
Alpignano,via Giuseppe Bellagarda,1,0,,,0.0,0,1
Alpignano,via Lanzo,1,1,184000.0,,13.0,0,0
Alpignano,via Provana Alpignano. Buono stato,1,0,,,9.0,0,1
Alpignano,via Roma,1,1,55000.0,,4.0,0,0
Alpignano,via Torelle,1,1,,,1.0,0,0
Alpignano,via dei Ronchi,1,1,,,6.0,0,0
Alpignano,via dei Ronchi Alpignano. Nuova,1,1,,,13.0,0,0
Avigliana,Corso Laghi,5,1,,,0.0,0,4
Avigliana,VIA MONTE CUNEO,1,1,40000.0,179.37,21.0,0,0
Avigliana,Via Avigliana,6,0,,,0.0,0,6
Avigliana,Via Cesare Battisti,1,0,,,0.0,0,1
Avigliana,Via Drubiaglio,1,0,,,0.0,0,1
Avigliana,Via Felice Goffi,1,0,,,0.0,0,1
Avigliana,Via Sacra San Michele - Laghi,1,1,395000.0,1717.39,19.0,0,0
Avigliana,"Vicolo Statuto, Avigliana",1,0,,,0.0,0,1
Avigliana,corso Laghi,2,1,129000.0,,8.0,1,1
Avigliana,corso Torino,1,1,,,0.0,0,0
Avigliana,piazza del Popolo,1,1,178000.0,,13.0,0,0
Avigliana,via 4 Novembre,1,1,159000.0,,13.0,7,0
Avigliana,via Ailliaud Augusto,1,0,,,0.0,0,1
Avigliana,via Aldo Carnino,1,0,,,10.0,0,1
Avigliana,via Aldo Moro,1,0,,,0.0,0,1
Avigliana,via Alliaud,1,1,57000.0,,5.0,0,0
Avigliana,via Avigliana,6,2,294000.0,3418.6,0.0,0,4
Avigliana,via Bacchiasso,1,0,,,0.0,0,1
Avigliana,via Chiattera,1,0,,,6.0,0,1
Avigliana,via Don Luigi Balbiano,2,1,95000.0,,0.5,0,1
Avigliana,via Drubiaglio,1,0,,,3.0,0,1
Avigliana,via Generale C. Alberto dalla Chiesa,1,1,,,0.0,0,0
Avigliana,via IV novembre. Ottimo,1,1,,,13.0,0,0
Avigliana,via Monte Cuneo,2,0,,,2.0,0,2
Avigliana,via Monte Pirchiriano,1,0,,,2.0,0,1
Avigliana,via Orsiera,1,1,110000.0,1666.67,12.0,0,0
Avigliana,via Oscar Borgesa,1,0,,,0.0,0,1
Avigliana,via Pontetto,1,0,,,0.0,0,1
Avigliana,via Sacra San Michele,1,0,,,9.0,0,1
Avigliana,via Sant'Agostino Avigliana. Ottimo stato,1,0,,,2.0,0,1
Avigliana,via Tetti Colombo,2,0,,,2.5,0,2
Avigliana,via Umberto I,1,1,,,2.0,0,0
Avigliana,via villar dora,1,1,,,13.0,0,0
Avigliana,viale Roma. Ottimo stato,1,0,,,0.0,0,1
Avigliana,viale roma,1,0,,,0.0,0,1
Bardonecchia,Borgata Horres-Garnier. Bardonecchia. Buono,1,1,,,12.0,0,0
Bardonecchia,Piazza Europa,1,1,,,12.0,0,0
Bardonecchia,Via Bardonecchia,1,1,8000.0,,6.0,2,0
Bardonecchia,Via Giolitti,1,0,,,9.0,0,1
Bardonecchia,Via Medail,1,0,,,8.0,0,1
Bardonecchia,"Via Medail, proponiamo in vendita un appartamento di mq",1,0,,,0.0,0,1
Bardonecchia,Via Melezet,1,0,,,0.0,0,1
Bardonecchia,Via Montello,1,0,,,2.0,0,1
Bardonecchia,Via Pollicino,2,0,,,0.0,0,2
Bardonecchia,Via Sommeiller,1,0,,,6.0,0,1
Bardonecchia,Via des Geneys,1,0,,,0.0,0,1
Bardonecchia,Viale Roma,1,0,,,0.0,0,1
Bardonecchia,borgata pre richard,1,0,,,4.0,0,1
Bardonecchia,via Campo Principe,3,1,65000.0,,8.0,0,2
Bardonecchia,via Cianfuran. Ottimo,1,0,,,2.0,0,1
Bardonecchia,via Einaudi,2,0,,,7.0,0,2
Bardonecchia,via G. F. Medail,1,0,,,0.0,0,1
Bardonecchia,via Genova,1,1,69000.0,,13.0,0,0
Bardonecchia,via Giuseppe Francesco,1,0,,,0.0,0,1
Bardonecchia,via La Rho,1,0,,,4.0,0,1
Bardonecchia,via Luigi Einaudi,1,1,320000.0,,3.0,0,0
Bardonecchia,via Medail,2,1,,,3.0,0,1
Bardonecchia,via Melezet,1,1,,,5.0,0,0
Bardonecchia,via Montello,1,1,125000.0,,13.0,0,0
Bardonecchia,via Montenero,1,1,160000.0,,6.0,0,0
Bardonecchia,via Pollicino,1,0,,,0.0,0,1
Bardonecchia,via Susa,1,1,220000.0,,4.0,0,0
Bardonecchia,via Verdi,2,2,,,7.0,0,0
Bardonecchia,via generale cantore,1,0,,,0.0,0,1
Bardonecchia,viale Bramafam,1,0,,,0.0,0,1
Bardonecchia,viale Callet,1,1,133000.0,,8.0,0,0
Beinasco,Corso Cavour,1,0,,,0.0,0,1
Beinasco,Corso Racconigi,1,1,6500.0,24.07,0.0,1,0
Beinasco,Strada Torino,2,1,410000.0,,0.5,0,1
Beinasco,Via Giorgio Amendola,1,0,,,0.0,0,1
Beinasco,piazza Kennedy,1,1,139000.0,1390.0,0.0,0,0
Beinasco,via Dante Alighieri,1,1,,,0.0,0,0
Beinasco,via Don Minzoni,1,0,,,0.0,0,1
Beinasco,via Gaetano Donizetti,1,1,,,1.0,0,0
Beinasco,via Gioacchino Rossini,1,0,,,0.0,0,1
Beinasco,via Mirafiori. Beinasco. Buono stato,1,0,,,0.0,0,1
Beinasco,via Nenni,1,1,,,1.0,0,0
Beinasco,via Principe Amedeo,1,1,175000.0,,1.0,0,0
Beinasco,via San Felice,1,0,,,0.0,0,1
Beinasco,via San Giacomo,1,0,,,0.0,0,1
Beinasco,via San Giovanni,2,1,,,0.5,0,1
Beinasco,via Torino,1,0,,,0.0,0,1
Beinasco,via Volta,1,1,,,1.0,0,0
Beinasco,via dei Villini,1,1,140000.0,,1.0,1,0
Beinasco,via fornasio,1,1,,,1.0,0,0
Beinasco,viale Generale Perotti,1,0,,,0.0,0,1
Beinasco,vicolo Antonio Trucchi,1,1,,,1.0,0,0
Borgone Susa,Strada Provinciale del Monginevro,1,1,199500.0,,0.0,0,0
Borgone Susa,Via A. Abegg,4,0,,,0.0,0,4
Borgone Susa,Via Bruno Mosconi,1,0,,,0.0,0,1
Borgone Susa,Via Condove,1,0,,,0.0,0,1
Borgone Susa,Via Dei Gravè,1,0,,,0.0,0,1
Borgone Susa,Via Florio Benvenuto,1,0,,,0.0,0,1
Borgone Susa,Via Monte Bianco,1,0,,,0.0,0,1
Borgone Susa,Via dei Gravè,1,0,,,13.0,0,1
Borgone Susa,frazione Chiampano Borgone Susa,1,0,,,10.0,0,1
Borgone Susa,piazza Montabone,1,0,,,0.0,0,1
Borgone Susa,via 4 Novembre,1,0,,,0.0,0,1
Borgone Susa,via A. Abegg,3,1,59000.0,,7.0,0,2
Borgone Susa,via Abegg,1,1,,,13.0,0,0
Borgone Susa,via Augusto Abegg,4,1,87000.0,713.11,8.0,0,3
Borgone Susa,via Augusto Abegg ... L'appartamento è stato ristrutturato circa,1,0,,,4.0,0,1
Borgone Susa,via Augusto Abegg Borgone Susa. Ottimo,1,1,350000.0,,13.0,0,0
Borgone Susa,via Augusto Abegg. Da,1,0,,,0.0,0,1
Borgone Susa,via Bruno Mosconi,1,0,,,0.0,0,1
Borgone Susa,via Condove,2,1,,,7.0,0,1
Borgone Susa,via Felice Falco,1,0,,,4.0,0,1
Borgone Susa,via Guglielmo,1,0,,,0.0,0,1
Borgone Susa,via Guido Bobba,1,0,,,3.0,0,1
Borgone Susa,via Moncenisio,1,0,,,0.0,0,1
Borgone Susa,via Montenero,2,1,,,12.0,0,1
Borgone Susa,via Ponte Dora,1,1,,,12.0,0,0
Borgone Susa,via Roma,1,0,,,0.0,0,1
Borgone Susa,via Tarro Boiro,2,1,45000.0,,11.0,0,1
Borgone Susa,via Tenente Mario,1,0,,,0.0,0,1
Borgone Susa,via Tenente Mario Tacca,2,1,,,6.0,0,1
Borgone Susa,via dei Gravè,1,1,,,12.0,0,0
Bruino,Via Piossasco,1,1,270000.0,4500.0,1.0,0,0
Bruino,via Don Bosco,1,1,,,1.0,0,0
Bruino,via Don Giovanni Bosco,1,1,,,1.0,0,0
Bruino,via Monteverdi. Piano,1,1,,,1.0,0,0
Bruino,via Rocciamelone,1,1,,,1.0,0,0
Bruino,via Torino,1,0,,,0.0,0,1
Bruino,via VOLVERA,1,1,125000.0,,1.0,1,0
Bruino,via Valgioie,1,1,129000.0,258.0,1.0,1,0
Bruino,via Volvera,1,1,,,1.0,0,0
Bruino,via piossasco,1,1,,,1.0,0,0
Bruino,via vittorio alfieri,1,1,259000.0,,1.0,0,0
Bruzolo,Piazza del Moro,1,0,,,0.0,0,1
Bruzolo,Via Bologna,2,0,,,2.0,0,2
Bruzolo,"Via Camillo Benso... Piemonte, Torino Visualizza foto Appartamento in vendita di",2,1,23000.0,,4.5,10,1
Bruzolo,Via dei Mille,1,0,,,6.0,0,1
Bussoleno,Borgata coldimosso Susa. Da,1,0,,,4.0,0,1
Bussoleno,Strada Monginevro,3,1,185000.0,,0.0,0,2
Bussoleno,Via San Lorenzo,1,0,,,9.0,0,1
Bussoleno,"Via Traforo, Bussoleno",1,1,130000.0,,6.0,0,0
Bussoleno,Via della Bocciofila,3,0,,,2.0,1,3
Bussoleno,"Viale Lungo Dora, Bussoleno",1,0,,,0.0,0,1
Bussoleno,"strada principale, si trova un negozio di",1,0,,,3.0,0,1
Bussoleno,via Bussoleno,1,0,,,0.0,0,1
Bussoleno,via Torino Mattie. Buono stato,1,0,,,4.0,0,1
Bussoleno,via bussoleno,3,3,289000.0,4700.0,13.0,0,0
Buttigliera Alta,Corso Laghi s.n.c,1,0,,,0.0,0,1
Buttigliera Alta,Corso Superga,3,0,,,0.0,0,3
Buttigliera Alta,Corso Torino,3,0,,,0.0,0,3
Buttigliera Alta,Strada del Closio,1,1,15000.0,,17.0,0,0
Buttigliera Alta,Via Conti Carron,1,0,,,17.0,0,1
Buttigliera Alta,Via IV Novembre,2,1,79000.0,493.75,14.5,1,1
Buttigliera Alta,Via Mario Greco,1,0,,,0.0,0,1
Buttigliera Alta,Via Monte Bianco,1,0,,,0.0,0,1
Buttigliera Alta,Via Reano,1,0,,,0.0,0,1
Buttigliera Alta,Via della Torre,1,0,,,0.0,0,1
Buttigliera Alta,corso Laghi,1,0,,,0.0,0,1
Buttigliera Alta,"frazione Bessen Alto, Sauze di Cesana Sauze di Cesana",1,1,570000.0,,1.0,0,0
Buttigliera Alta,via Allende,1,0,,,10.0,0,1
Buttigliera Alta,vicolo Moncenisio,1,1,,,4.0,0,0
Caprie,"Borgata Peroldrado, proponiamo una soluzione indipendente risalente al",1,0,,,0.0,0,1
Caprie,Viale Kennedy,2,0,,,1.0,0,2
Caprie,via Caprie,1,0,,,4.0,0,1
Caprie,via Caprie. Buono stato,1,1,,,13.0,0,0
Caprie,via Peroldrado,1,0,,,3.0,0,1
Caprie,via Roma,2,0,,,1.0,0,2
Caprie,vicolo Volpellato,1,1,49000.0,,3.0,0,0
Caselette,"Corso Susa, Caselette",1,0,,,0.0,0,1
Caselette,Località Favorita,1,1,,,19.0,0,0
Caselette,Piazza Carlo Cays,1,0,,,0.0,0,1
Caselette,Via Ciriè,1,0,,,6.0,0,1
Caselette,corso Susa,3,2,95000.0,,8.0,0,1
Caselette,via Alpignano,1,0,,,3.0,0,1
Caselette,via Druento San Gillio. Nuova,1,1,,,5.0,0,0
Caselette,via San Giovanni Bosco Caselette. Buono,1,1,,,18.0,0,0
Chianocco,Frazione Pavaglione,1,0,,,2.0,0,1
Chianocco,Via Primo Maggio n,1,1,,,13.0,0,0
Chianocco,frazione Pavaglione,1,0,,,0.0,0,1
Chianocco,frazione Vernetto,3,0,,,0.0,0,3
Chiomonte,via Assietta,1,1,,,12.0,0,0
Chiomonte,via III Reggimento,1,0,,,9.0,0,1
Chiomonte,via III Reggimento Alpini,4,2,,,2.0,0,2
Chiomonte,via Soubeyrand,1,1,,,12.0,0,0
Chiomonte,via Villa Ferraro,1,1,,,7.0,0,0
Chiomonte,via levis Chiomonte. Buono stato,1,1,,,5.0,0,0
Chiusa di San Michele,Borgata Basinatto,1,1,,,12.0,0,0
Chiusa di San Michele,via E. L,1,0,,,7.0,0,1
Chiusa di San Michele,via Ex,2,1,,,12.0,0,1
Chiusa di San Michele,via Generale,1,1,,,13.0,0,0
Chiusa di San Michele,via Roma,1,0,,,12.0,0,1
Chiusa di San Michele,via Susa,4,2,,,12.0,0,2
Chiusa di San Michele,via Torino,2,2,158000.0,1053.33,12.5,0,0
Chiusa di San Michele,vicolo G. Pietro Riva,1,1,,,18.0,0,0
Chiusa di San Michele,vicolo Nuovo,1,0,,,10.0,0,1
Coazze,Borgata Brando,1,0,,,2.0,0,1
Coazze,Borgata Bue,1,1,,,8.0,0,0
Coazze,Borgata Freinetto,1,1,,,8.0,0,0
Coazze,Borgata Galleana,1,0,,,0.0,0,1
Coazze,Borgata prialli,1,1,,,8.0,0,0
Coazze,Via Giulio Cesare Gennai,1,1,,,3.0,0,0
Coazze,Viale Italia,1,1,,,12.0,0,0
Coazze,via Coazze. Ottimo stato,1,1,,,8.0,0,0
Coazze,via Freinetto,1,1,,,19.0,0,0
Coazze,via Giaveno,2,2,,,13.0,0,0
Coazze,via Montenero,1,0,,,0.0,0,1
Coazze,via coazze,1,0,,,0.0,0,1
Coazze,via dei Molè. Buono stato,1,0,,,4.0,0,1
Coazze,via freinetto,1,0,,,12.0,0,1
Coazze,via matteotti,1,1,,,8.0,0,0
Coazze,via sertorio,1,1,,,3.0,0,0
Collegno,Corso Francia,1,0,,,0.0,0,1
Collegno,Piazza IV Novembre,1,0,,,0.0,0,1
Collegno,Strada Antica di Collegno,1,0,,,0.0,0,1
Collegno,Via Alfredo Catalani,1,0,,,0.0,0,1
Collegno,Via Antico Filatoio,1,0,,,0.0,0,1
Collegno,Via Fabio Filzi,1,0,,,0.0,0,1
Collegno,Via Giacinto Collegno,1,0,,,0.0,0,1
Collegno,Via Giovanni Tobanelli,1,0,,,3.0,0,1
Collegno,Via Monte Nero,1,0,,,0.0,0,1
Collegno,Via Sacra S. Michele,1,0,,,0.0,0,1
Collegno,Via Torino,1,0,,,5.0,0,1
Collegno,Via Vittorio Sassi,1,0,,,0.0,0,1
Collegno,corso Francia,2,0,,,3.0,0,2
Collegno,corso Francia. Buono stato,1,0,,,0.0,0,1
Collegno,corso John Fitzgerald,1,1,,,5.0,0,0
Collegno,corso palmiro togliatti,1,0,,,9.0,0,1
Collegno,piazza 4 Novembre. Ottimo,1,0,,,0.0,0,1
Collegno,piazza Sandro Pertini,2,1,,,0.5,0,1
Collegno,piazza iv novembre. Buono,1,0,,,4.0,0,1
Collegno,via 20 Settembre,2,2,,,4.0,0,0
Collegno,via Alfredo Catalani,1,0,,,0.0,0,1
Collegno,via Alpignano. Collegno. Buono stato,1,0,,,5.0,0,1
Collegno,via Avigliana,1,1,,,13.0,0,0
Collegno,via Carlo Donat Cattin,1,0,,,0.0,0,1
Collegno,via Castagnevizza,2,1,,,5.0,0,1
Collegno,via Cristoforo Colombo,1,0,,,8.0,0,1
Collegno,via Fabbrichetta,1,0,,,0.0,0,1
Collegno,via Fabio Filzi,1,0,,,0.0,0,1
Collegno,via Giorgio La Pira,2,2,,,8.5,0,0
Collegno,via Giuseppe di Vittorio. Collegno. Da,1,1,,,1.0,0,0
Collegno,via Luigi Galvani,1,0,,,0.0,0,1
Collegno,via Manzoni,1,1,,,5.0,0,0
Collegno,via Marco Minghetti,1,0,,,5.0,0,1
Collegno,via Marco Minghetti. Ottimo,1,0,,,2.0,0,1
Collegno,via Niccolò Tommaseo,1,0,,,0.0,0,1
Collegno,via Pintor Giaime,1,0,,,1.0,0,1
Collegno,via Podgora,3,1,,,0.0,0,2
Collegno,via Sestriere,1,0,,,0.0,0,1
Collegno,via Trieste,1,1,,,1.0,0,0
Collegno,via Vincenzo Gioberti,1,0,,,9.0,0,1
Collegno,via della Croce,1,0,,,0.0,0,1
Collegno,via della Croce Collegno. Buono,1,0,,,6.0,0,1
Collegno,via giuseppe verdi,1,1,,,7.0,0,0
Collegno,via minghetti. Nuovo,1,0,,,4.0,0,1
Collegno,via vittorio veneto,1,1,,,0.0,0,0
Collegno,viale XXIV Maggio,1,0,,,2.0,0,1
Condove,Borgata Alotti Condove. Buono stato,1,1,,,13.0,0,0
Condove,Borgata Bellafugera Condove. Buono,1,1,,,4.0,0,0
Condove,Borgata Belle Fugera Condove. Da,1,1,,,13.0,0,0
Condove,Borgata Bert,1,0,,,3.0,0,1
Condove,Borgata Borlera,1,1,,,17.0,0,0
Condove,Borgata Colombo,1,1,,,8.0,0,0
Condove,Borgata Pratobotrile,1,0,,,0.0,0,1
Condove,Borgata Pratobottrile,1,0,,,2.0,0,1
Condove,Strada Comunale Condove - Mocchie,1,0,,,4.0,0,1
Condove,Via Bergera,1,0,,,0.0,0,1
Condove,Via G. Matteotti,1,0,,,0.0,0,1
Condove,Via LEOPARDI,1,0,,,0.0,0,1
Condove,Via Moncenisio,1,0,,,6.0,0,1
Condove,via Baratta,1,1,,,5.0,0,0
Condove,via Bergera,1,0,,,1.0,0,1
Condove,via Condove,1,1,,,1.0,0,0
Condove,via G. Matteotti,3,1,,,2.0,0,2
Condove,via Giacomo Matteotti,1,1,,,3.0,0,0
Condove,via Leopardi,2,0,,,0.0,0,2
Condove,via Superga,1,0,,,0.0,0,1
Druento,Largo Oropa,1,1,,,1.0,0,0
Druento,Strada San Gillio,1,0,,,0.0,0,1
Druento,Via Druento,5,0,,,0.0,0,5
Druento,Vicolo Coenda,1,0,,,0.0,0,1
Druento,via Druento,1,1,,,1.0,0,0
Druento,via Druento San Gillio. Nuova,1,1,,,1.0,0,0
Druento,via Druento. Buono stato,1,1,,,0.0,0,0
Druento,via Giosuè Carducci,1,1,,,1.0,0,0
Druento,via Madonna,1,1,,,1.0,0,0
Druento,via don cocchi,1,1,,,1.0,0,0
Exilles,Strada di San Colombano s.n.c,1,1,,,8.0,0,0
Exilles,Via Exilles,2,1,,,1.5,0,1
Exilles,frazione Cels Rif Exilles. Buono,1,1,,,8.0,0,0
Exilles,via Exilles,4,2,,,5.0,0,2
Exilles,via exilles,2,1,,,4.0,0,1
Ferriera di Buttigliera Alta,Via Cavallo Grigio a,1,0,,,1.0,0,1
Ferriera di Buttigliera Alta,strada Antica di Francia,1,0,,,0.0,0,1
Ferriera di Buttigliera Alta,via Capoluogo,1,0,,,0.0,0,1
Ferriera di Buttigliera Alta,via Rocciamelone,1,1,,,4.0,0,0
Ferriera di Buttigliera Alta,via dei Comuni,1,0,,,0.0,0,1
Ferriera di Buttigliera Alta,via del Cavallo Grigio Buttigliera Alta,1,0,,,0.0,0,1
Ferriera di Buttigliera Alta,via della Torre,1,1,,,4.0,0,0
Fiano,Via Guglielmo Marconi,1,1,,,0.0,0,0
Fiano,via Capodimonte,1,1,,,1.0,0,0
Fiano,via Firenze,2,1,,,0.5,0,1
Fiano,via Giovanni Agnelli Fiano. Buono stato,1,0,,,0.0,0,1
Fiano,via Padova,1,0,,,0.0,0,1
Fiano,via Padova Fiano Romano. Ottimo stato,1,1,,,1.0,0,0
Fiano,via Palmiro Togliatti,1,1,,,0.0,0,0
Fiano,via Treves,1,1,,,1.0,0,0
Fiano,via Umberto Terracini,1,1,,,0.0,0,0
Fiano,via carlo alberto dalla,1,1,,,1.0,0,0
Fiano,via del Laghetto,1,1,,,1.0,0,0
Fiano,via del Sassone,1,1,,,1.0,0,0
Giaglione,Frazione Rastella,1,1,,,13.0,0,0
Giaglione,Frazione San Giovanni a Giaglione,1,0,,,0.0,0,1
Giaglione,frazione San Giuseppe,1,0,,,0.0,0,1
Giaglione,frazione San Giuseppe Tsèina,1,0,,,5.0,0,1
