ZONE_ID,COMUNE,VIA_ANNUNCIO,RIFERIMENTO_ANNUNCIO,ANNUNCIO_URL,RANK,TIPO_VIA,VIA_DA_LAVORARE,DISTANZA_M,RELAZIONE,OSM_STATUS
almese-via-rubiana,Almese,Via Rubiana,Via Rubiana 142,https://www.idealista.it/immobile/36195511/,0,TARGET,Via Rubiana,0,CENTRO,OK
almese-via-rubiana,Almese,Via Rubiana,Via Rubiana 142,https://www.idealista.it/immobile/36195511/,1,VICINA,Borgata Malatrait II,0,INCROCIA,OK
almese-via-rubiana,Almese,Via Rubiana,Via Rubiana 142,https://www.idealista.it/immobile/36195511/,2,VICINA,Via Circonvallazione,0,INCROCIA,OK
almese-via-rubiana,Almese,Via Rubiana,Via Rubiana 142,https://www.idealista.it/immobile/36195511/,3,VICINA,Via Combal,0,INCROCIA,OK
almese-via-rubiana,Almese,Via Rubiana,Via Rubiana 142,https://www.idealista.it/immobile/36195511/,4,VICINA,Via dei Copertili,0,INCROCIA,OK
almese-via-montecapretto,Almese,via Montecapretto,via Montecapretto 24,https://www.immobiliare.it/annunci/108146029/,0,TARGET,via Montecapretto,0,CENTRO,OK
almese-via-montecapretto,Almese,via Montecapretto,via Montecapretto 24,https://www.immobiliare.it/annunci/108146029/,1,VICINA,Via Bertolo,0,INCROCIA,OK
almese-via-montecapretto,Almese,via Montecapretto,via Montecapretto 24,https://www.immobiliare.it/annunci/108146029/,2,VICINA,Via Sonetto,0,INCROCIA,OK
almese-via-montecapretto,Almese,via Montecapretto,via Montecapretto 24,https://www.immobiliare.it/annunci/108146029/,3,VICINA,Via Muande,102,VICINA,OK
almese-via-montecapretto,Almese,via Montecapretto,via Montecapretto 24,https://www.immobiliare.it/annunci/108146029/,4,VICINA,Via Falca,124,VICINA,OK
almese-via-roma,Almese,via Roma,via Roma 29,https://www.immobiliare.it/annunci/130993624/,0,TARGET,via Roma,0,CENTRO,OK
almese-via-roma,Almese,via Roma,via Roma 29,https://www.immobiliare.it/annunci/130993624/,1,VICINA,Piazza Martiri della Libertà,0,INCROCIA,OK
