ordine,comune,via,target,azione,motivo,score,ultima_pianificazione_giorni
1,Almese,Via Rubiana,Via Rubiana 142,PASSA IN ZONA,presidio territoriale,46,
2,Almese,Via Rubiana,Via Rubiana 51,PASSA IN ZONA,presidio territoriale,46,
3,Almese,Via Rubiana,via Rubiana 100,PASSA IN ZONA,presidio territoriale,46,
4,Almese,Via Almese,Via Almese 10,PASSA IN ZONA,presidio territoriale,36,
5,Almese,Via Almese,via almese 23,PASSA IN ZONA,presidio territoriale,36,
6,Almese,via Montecapretto,via Montecapretto 24,PASSA IN ZONA,presidio territoriale,30,
7,Almese,via Roma,via Roma 29,PASSA IN ZONA,presidio territoriale,30,
8,Almese,frazione Tuberghengo,frazione Tuberghengo 2,PASSA IN ZONA,presidio territoriale,30,
9,Almese,Via IV Novembre,Via IV Novembre 4,PASSA IN ZONA,presidio territoriale,30,
10,Buttigliera Alta,Corso Superga,Corso Superga 8,PASSA IN ZONA,presidio territoriale,43,
