PRIORITA,SCORE,COMUNE,FONTE,TITOLO,PREZZO,PREZZO_PRECEDENTE,RIBASSI,INDIZIO_INSERZIONISTA,STATO,PRIMA_RILEVAZIONE,ULTIMO_CONTROLLO,MOTIVI,URL,CONTATTO_PRONTO,CONTATTI_PUBBLICI,FONTE_CONTATTO,CROSS_MATCH,NOME_INSERZIONISTA,RICERCA_PUBBLICA,VIA_RADAR,INDIRIZZI_ZONA,AZIONE_ZONA,DOVE_ANDRE,COSA_CERCO,PREZZO_OPERATIVO,ISTRUZIONE_OPERATIVA
BASSA,30,Buttigliera Alta,Idealista,"Villa in vendita in Via Conti Carron, 4, Buttigliera Alta - idealista",,,0,NON_DETERMINATO,NEW,2026-08-19T14:35:19.760278+00:00,2026-08-19T14:35:19.760281+00:00,nuova rilevazione,https://www.idealista.it/immobile/33719415/,NO,,,0,,ESEGUITA,Via Conti Carron,Via Conti Carron 4 | Via Conti Carron 57,VAI IN ZONA,Via Conti Carron 4,"Villa in vendita in Via Conti Carron, 4, Buttigliera Alta - idealista",PREZZO DA VERIFICARE,VAI IN ZONA
BASSA,20,Rosta,Tempocasa,Villa unifamiliare in Vendita a Rosta | Euro 330.000 | Mq 190,330000,,0,NON_DETERMINATO,TRACKED,2026-08-17T16:30:23.634210+00:00,2026-08-19T14:35:19.760293+00:00,prezzo rilevato,https://tempocasa.it/it/vendita/torino/rosta/villa-unifamiliare/1780932,NO,,,0,,ESEGUITA,,,,INDIRIZZO DA VERIFICARE,Villa unifamiliare in Vendita a Rosta | Euro 330.000 | Mq 190,330000,APRI FONTE E VERIFICA INDIRIZZO
BASSA,15,Almese,Idealista,"Villa in vendita in Via Rubiana, 142 /2, Almese - idealista",,,0,NON_DETERMINATO,TRACKED,2026-08-17T16:30:23.634178+00:00,2026-08-19T14:35:19.760255+00:00,monitoraggio base,https://www.idealista.it/immobile/36069783/,NO,,,0,,ESEGUITA,Via Rubiana,Via Rubiana 142 | via Rubiana 100,VAI IN ZONA,Via Rubiana 142,"Villa in vendita in Via Rubiana, 142 /2, Almese - idealista",PREZZO DA VERIFICARE,VAI IN ZONA
BASSA,15,Rosta,Idealista,"Villetta bifamiliare in vendita in Via Piave, 53, Rosta - idealista",,,0,NON_DETERMINATO,TRACKED,2026-08-17T16:30:23.634202+00:00,2026-08-19T14:35:19.760287+00:00,monitoraggio base,https://www.idealista.it/immobile/35863658/,NO,,,0,,ESEGUITA,Via Piave,Via Piave 53,VAI IN ZONA,Via Piave 53,"Villetta bifamiliare in vendita in Via Piave, 53, Rosta - idealista",PREZZO DA VERIFICARE,VAI IN ZONA
BASSA,15,Sant'Antonino di Susa,Immobiliare.it,Vendita Villa unifamiliare in via Medagli 55 Sant'Antonino di Susa ...,,,0,NON_DETERMINATO,TRACKED,2026-08-17T16:30:23.634216+00:00,2026-08-19T14:35:19.760309+00:00,monitoraggio base,https://www.immobiliare.it/annunci/131644636/,NO,,,0,,ESEGUITA,via Medagli,via Medagli 55,VAI IN ZONA,via Medagli 55,Vendita Villa unifamiliare in via Medagli 55 Sant'Antonino di Susa,PREZZO DA VERIFICARE,VAI IN ZONA
BASSA,15,Vaie,Casa.it,Villa in Vendita in Via Peirolero 28 a Vaie - 250mq - Casa.it,,,0,NON_DETERMINATO,TRACKED,2026-08-17T16:30:23.634223+00:00,2026-08-19T14:35:19.760313+00:00,monitoraggio base,https://www.casa.it/immobili/50035067/,NO,,,0,,ESEGUITA,Via Peirolero,Via Peirolero 28,VAI IN ZONA,Via Peirolero 28,Villa in Vendita in Via Peirolero 28 a Vaie - 250mq - Casa.it,PREZZO DA VERIFICARE,VAI IN ZONA
BASSA,15,Vaie,Idealista,"Trilocale in vendita in Vicolo Superiore, 19, Vaie - idealista",,,0,NON_DETERMINATO,TRACKED,2026-08-17T16:30:23.634228+00:00,2026-08-19T14:35:19.760317+00:00,monitoraggio base,https://www.idealista.it/immobile/34422440/,NO,,,0,,ESEGUITA,Vicolo Superiore,Vicolo Superiore 19,VAI IN ZONA,Vicolo Superiore 19,"Trilocale in vendita in Vicolo Superiore, 19, Vaie - idealista",PREZZO DA VERIFICARE,VAI IN ZONA
BASSA,15,Villar Dora,Idealista,"Trilocale in vendita in Via Celle, 64, Villar Dora - idealista",,,0,NON_DETERMINATO,TRACKED,2026-08-17T16:30:23.634233+00:00,2026-08-19T14:35:19.760321+00:00,monitoraggio base,https://www.idealista.it/immobile/34771243/,NO,,,0,,ESEGUITA,Via Celle,Via Celle 64,VAI IN ZONA,Via Celle 64,"Trilocale in vendita in Via Celle, 64, Villar Dora - idealista",PREZZO DA VERIFICARE,VAI IN ZONA
BASSA,15,Villar Focchiardo,Idealista,"Villa in vendita in Via Chiesali s.n.c, Villar Focchiardo - idealista",,,0,NON_DETERMINATO,TRACKED,2026-08-17T16:30:23.634238+00:00,2026-08-19T14:35:19.760324+00:00,monitoraggio base,https://www.idealista.it/immobile/36499500/,NO,,,0,,ESEGUITA,,,,INDIRIZZO DA VERIFICARE,"Villa in vendita in Via Chiesali s.n.c, Villar Focchiardo - idealista",PREZZO DA VERIFICARE,APRI FONTE E VERIFICA INDIRIZZO
BASSA,15,Villar Focchiardo,Casa.it,Villa in Vendita in Via Chiesali a Villar Focchiardo - Casa.it,,,0,NON_DETERMINATO,TRACKED,2026-08-17T16:30:23.634242+00:00,2026-08-19T14:35:19.760328+00:00,monitoraggio base,https://www.casa.it/immobili/54578481/,NO,,,0,,ESEGUITA,,,,INDIRIZZO DA VERIFICARE,Villa in Vendita in Via Chiesali a Villar Focchiardo - Casa.it,PREZZO DA VERIFICARE,APRI FONTE E VERIFICA INDIRIZZO
