PRIORITA,SCORE,TIPO_OPPORTUNITA,TARGET,FASE_PROGETTO,OBIETTIVO_COMMERCIALE,COMUNE,FONTE,TITOLO,PREZZO,PREZZO_PRECEDENTE,RIBASSI,INDIZIO_INSERZIONISTA,STATO,PRIMA_RILEVAZIONE,ULTIMO_CONTROLLO,MOTIVI,PDF_DA_VERIFICARE,URL,CONTATTO_PRONTO,CONTATTI_PUBBLICI,FONTE_CONTATTO,CROSS_MATCH,NOME_INSERZIONISTA,RICERCA_PUBBLICA,VIA_RADAR,INDIRIZZI_ZONA,AZIONE_ZONA,MOTIVO_SCARTO_OPERATIVO
MEDIA,55,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Collegno,Privati generico,Case in Vendita da Privati Collegno - ClickCase.it,,,0,INDIZIO_PRIVATO,POSSIBILE_USCITA,2026-08-21T12:20:59.475506+00:00,2026-08-23T17:16:38.786876+00:00,fonte/query orientata ai privati | indizio privato/no agenzie,,https://www.clickcase.it/annunci/vendita-case-privati-collegno.html,NO,,,0,,ESEGUITA,viale XXIV Maggio,viale XXIV Maggio 54,VAI IN ZONA,PAGINA_CATEGORIA_O_RICERCA
MEDIA,48,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Oulx,Trovit,236 immobili in vendita a Oulx - Trovit,29000,37000,2,NON_DETERMINATO,POSSIBILE_USCITA,2026-08-21T12:20:59.475648+00:00,2026-08-27T21:04:17.080373+00:00,prezzo rilevato | ribasso rilevato | ribassi multipli,,https://case.trovit.it/oulx,NO,,,0,,ESEGUITA,,,,PAGINA_CATEGORIA_O_RICERCA
MEDIA,45,INDUSTRIALE_LOGISTICA,IMMOBILE,,ACQUISIZIONE CAPANNONE / MAGAZZINO,Val della Torre,Capannoni logistica,Garage Val Della Torre - 30 Garage in vendita in Val Della Torre de ...,24000,,0,NON_DETERMINATO,NEW,2026-09-01T23:36:27.692306+00:00,2026-09-01T23:36:27.692307+00:00,nuova rilevazione | prezzo rilevato | industriale logistica,,https://www.nuroa.it/vendita-immobili/garage-val-della-torre,NO,,,0,,NON_ESEGUITA,,,,PAGINA_CATEGORIA_O_RICERCA
BASSA,43,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Rivoli,Mercato generale,Case in Vendita da Privati Rivoli - ClickCase.it,,,0,INDIZIO_PRIVATO,POSSIBILE_USCITA,2026-08-23T09:11:13.222671+00:00,2026-08-23T17:16:38.787022+00:00,indizio privato/no agenzie,,https://www.clickcase.it/annunci/vendita-case-privati-rivoli.html,NO,,,0,,ESEGUITA,,,,PAGINA_CATEGORIA_O_RICERCA
BASSA,42,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Salbertrand,Subito privati,Appartamenti in vendita Salbertrand - Subito.it,,,0,NON_DETERMINATO,NEW,2026-09-01T18:58:42.121203+00:00,2026-09-01T18:58:42.121204+00:00,nuova rilevazione | fonte/query orientata ai privati,,https://www.subito.it/annunci-piemonte/vendita/appartamenti/torino/salbertrand/,NO,,,0,,NON_ESEGUITA,,,,PAGINA_CATEGORIA_O_RICERCA
BASSA,42,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Val della Torre,Subito privati,Val della torre - Vendita case Piemonte - Subito.it,,,0,NON_DETERMINATO,NEW,2026-09-01T18:58:42.122029+00:00,2026-09-01T18:58:42.122030+00:00,nuova rilevazione | fonte/query orientata ai privati,,https://www.subito.it/annunci-piemonte/vendita/immobili/?q=val+della+torre,NO,,,0,,NON_ESEGUITA,,,,PAGINA_CATEGORIA_O_RICERCA
BASSA,42,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Oulx,Subito privati,Appartamenti in vendita Oulx - Subito.it,,,0,NON_DETERMINATO,NEW,2026-09-01T23:36:27.691331+00:00,2026-09-01T23:36:27.691332+00:00,nuova rilevazione | fonte/query orientata ai privati,,https://www.subito.it/annunci-piemonte/vendita/appartamenti/torino/oulx/,NO,,,0,,NON_ESEGUITA,,,,PAGINA_CATEGORIA_O_RICERCA
BASSA,40,INDUSTRIALE_LOGISTICA,IMMOBILE,,ACQUISIZIONE CAPANNONE / MAGAZZINO,Bussoleno,Trovit,1 locale commerciales in affitto a Bussoleno - Trovit,,,0,NON_DETERMINATO,NEW,2026-09-01T18:58:42.119291+00:00,2026-09-01T18:58:42.119293+00:00,nuova rilevazione | industriale logistica,,https://case.trovit.it/affitto-negozio-bussoleno,NO,,,0,,ESEGUITA,,,,PAGINA_CATEGORIA_O_RICERCA
BASSA,40,INDUSTRIALE_LOGISTICA,IMMOBILE,,ACQUISIZIONE CAPANNONE / MAGAZZINO,Almese,Trovit,2 capannones in affitto a Almese - Trovit,,,0,NON_DETERMINATO,NEW,2026-09-01T23:36:27.689895+00:00,2026-09-01T23:36:27.689898+00:00,nuova rilevazione | industriale logistica,,https://case.trovit.it/affitto-capannone-almese,NO,,,0,,ESEGUITA,,,,PAGINA_CATEGORIA_O_RICERCA
BASSA,40,INDUSTRIALE_LOGISTICA,IMMOBILE,,ACQUISIZIONE CAPANNONE / MAGAZZINO,Alpignano,Trovit,1 capannones in affitto a Alpignano - Trovit,,,0,NON_DETERMINATO,NEW,2026-09-01T23:36:27.689979+00:00,2026-09-01T23:36:27.689980+00:00,nuova rilevazione | industriale logistica,,https://case.trovit.it/affitto-capannone-alpignano,NO,,,0,,ESEGUITA,,,,PAGINA_CATEGORIA_O_RICERCA
