enabled,comune,gruppo,recipient_secret
1,Sant'Antonino di Susa,COMUNI PRINCIPALI,F1_WA_MAIN
1,Vaie,COMUNI PRINCIPALI,F1_WA_MAIN
1,San Valeriano,COMUNI PRINCIPALI,F1_WA_MAIN
1,Villar Focchiardo,COMUNI PRINCIPALI,F1_WA_MAIN
1,Borgone Susa,COMUNI PRINCIPALI,F1_WA_MAIN
1,Condove,COMUNI PRINCIPALI,F1_WA_MAIN
1,Chiusa di San Michele,COMUNI PRINCIPALI,F1_WA_MAIN
1,Caprie,VERSO MONTAGNA,F1_WA_MOUNTAIN
1,Novaretto,VERSO MONTAGNA,F1_WA_MOUNTAIN
1,Bussoleno,VERSO MONTAGNA,F1_WA_MOUNTAIN
1,Susa,VERSO MONTAGNA,F1_WA_MOUNTAIN
1,Sant'Ambrogio di Torino,VERSO TORINO,F1_WA_TORINO
1,Villar Dora,VERSO TORINO,F1_WA_TORINO
1,Almese,VERSO TORINO,F1_WA_TORINO
1,Avigliana,VERSO TORINO,F1_WA_TORINO
1,Buttigliera Alta,VERSO TORINO,F1_WA_TORINO
1,Rosta,VERSO TORINO,F1_WA_TORINO
1,Alpignano,VERSO TORINO,F1_WA_TORINO
1,Rivoli,VERSO TORINO,F1_WA_TORINO
